Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Female,Austria,2020,3204.0,3178.0,3099.0,2981.0,3031.0,3009.0,3121.2000000000003,70.9,1.96,62.1,3059.1000000000004,3183.3,82.8,62.1,2.7,2.0,3121.2 (±62.1),82.8 (±62.1),2.7% (±2.0%),281274,29.4,22.1,29.4(±22.1)
Female,Austria,2020,3204.0,3178.0,3099.0,2981.0,3031.0,3009.0,3121.2000000000003,70.9,1.96,62.1,3059.1000000000004,3183.3,82.8,62.1,2.7,2.0,3121.2 (±62.1),82.8 (±62.1),2.7% (±2.0%),313946,26.4,19.8,26.4(±19.8)
Female,Austria,2020,3204.0,3178.0,3099.0,2981.0,3031.0,3009.0,3121.2000000000003,70.9,1.96,62.1,3059.1000000000004,3183.3,82.8,62.1,2.7,2.0,3121.2 (±62.1),82.8 (±62.1),2.7% (±2.0%),354457,23.4,17.5,23.4(±17.5)
Female,Austria,2020,3204.0,3178.0,3099.0,2981.0,3031.0,3009.0,3121.2000000000003,70.9,1.96,62.1,3059.1000000000004,3183.3,82.8,62.1,2.7,2.0,3121.2 (±62.1),82.8 (±62.1),2.7% (±2.0%),343335,24.1,18.1,24.1(±18.1)
Female,Austria,2020,3204.0,3178.0,3099.0,2981.0,3031.0,3009.0,3121.2000000000003,70.9,1.96,62.1,3059.1000000000004,3183.3,82.8,62.1,2.7,2.0,3121.2 (±62.1),82.8 (±62.1),2.7% (±2.0%),289698,28.6,21.4,28.6(±21.4)
Female,Belgium,2020,4659.0,4894.0,4532.0,4430.0,4525.0,4388.0,4644.999999999999,178.8,1.96,156.7,4488.299999999999,4801.699999999999,14.0,156.7,0.3,3.3,4645.0 (±156.7),14.0 (±156.7),0.3% (±3.3%),366609,3.8,42.8,3.8(±42.8)
Female,Belgium,2020,4659.0,4894.0,4532.0,4430.0,4525.0,4388.0,4644.999999999999,178.8,1.96,156.7,4488.299999999999,4801.699999999999,14.0,156.7,0.3,3.3,4645.0 (±156.7),14.0 (±156.7),0.3% (±3.3%),379784,3.7,41.2,3.7(±41.2)
Female,Belgium,2020,4659.0,4894.0,4532.0,4430.0,4525.0,4388.0,4644.999999999999,178.8,1.96,156.7,4488.299999999999,4801.699999999999,14.0,156.7,0.3,3.3,4645.0 (±156.7),14.0 (±156.7),0.3% (±3.3%),390613,3.6,40.1,3.6(±40.1)
Female,Belgium,2020,4659.0,4894.0,4532.0,4430.0,4525.0,4388.0,4644.999999999999,178.8,1.96,156.7,4488.299999999999,4801.699999999999,14.0,156.7,0.3,3.3,4645.0 (±156.7),14.0 (±156.7),0.3% (±3.3%),399077,3.5,39.3,3.5(±39.3)
Female,Belgium,2020,4659.0,4894.0,4532.0,4430.0,4525.0,4388.0,4644.999999999999,178.8,1.96,156.7,4488.299999999999,4801.699999999999,14.0,156.7,0.3,3.3,4645.0 (±156.7),14.0 (±156.7),0.3% (±3.3%),367037,3.8,42.7,3.8(±42.7)
Female,Bulgaria,2020,6255.0,5295.0,5236.0,5129.0,5090.0,4720.0,5185.200000000001,200.8,1.96,176.0,5009.200000000001,5361.200000000001,1069.8,176.0,20.6,3.9,5185.2 (±176.0),1069.8 (±176.0),20.6% (±3.9%),258606,413.7,68.0,413.7(±68.0)
Female,Bulgaria,2020,6255.0,5295.0,5236.0,5129.0,5090.0,4720.0,5185.200000000001,200.8,1.96,176.0,5009.200000000001,5361.200000000001,1069.8,176.0,20.6,3.9,5185.2 (±176.0),1069.8 (±176.0),20.6% (±3.9%),254785,419.9,69.1,419.9(±69.1)
Female,Bulgaria,2020,6255.0,5295.0,5236.0,5129.0,5090.0,4720.0,5185.200000000001,200.8,1.96,176.0,5009.200000000001,5361.200000000001,1069.8,176.0,20.6,3.9,5185.2 (±176.0),1069.8 (±176.0),20.6% (±3.9%),237633,450.2,74.1,450.2(±74.1)
Female,Bulgaria,2020,6255.0,5295.0,5236.0,5129.0,5090.0,4720.0,5185.200000000001,200.8,1.96,176.0,5009.200000000001,5361.200000000001,1069.8,176.0,20.6,3.9,5185.2 (±176.0),1069.8 (±176.0),20.6% (±3.9%),240710,444.4,73.2,444.4(±73.2)
Female,Bulgaria,2020,6255.0,5295.0,5236.0,5129.0,5090.0,4720.0,5185.200000000001,200.8,1.96,176.0,5009.200000000001,5361.200000000001,1069.8,176.0,20.6,3.9,5185.2 (±176.0),1069.8 (±176.0),20.6% (±3.9%),251894,424.7,69.9,424.7(±69.9)
Female,Croatia,2020,2060.0,2172.0,1963.0,2059.0,2003.0,1897.0,2059.6000000000004,93.0,1.96,81.5,1978.1000000000004,2141.1000000000004,0.4,81.5,0.0,3.8,2059.6 (±81.5),0.4 (±81.5),0.0% (±3.8%),136137,0.3,59.9,0.3(±59.9)
Female,Croatia,2020,2060.0,2172.0,1963.0,2059.0,2003.0,1897.0,2059.6000000000004,93.0,1.96,81.5,1978.1000000000004,2141.1000000000004,0.4,81.5,0.0,3.8,2059.6 (±81.5),0.4 (±81.5),0.0% (±3.8%),131699,0.3,61.9,0.3(±61.9)
Female,Croatia,2020,2060.0,2172.0,1963.0,2059.0,2003.0,1897.0,2059.6000000000004,93.0,1.96,81.5,1978.1000000000004,2141.1000000000004,0.4,81.5,0.0,3.8,2059.6 (±81.5),0.4 (±81.5),0.0% (±3.8%),141543,0.3,57.6,0.3(±57.6)
Female,Croatia,2020,2060.0,2172.0,1963.0,2059.0,2003.0,1897.0,2059.6000000000004,93.0,1.96,81.5,1978.1000000000004,2141.1000000000004,0.4,81.5,0.0,3.8,2059.6 (±81.5),0.4 (±81.5),0.0% (±3.8%),149408,0.3,54.5,0.3(±54.5)
Female,Croatia,2020,2060.0,2172.0,1963.0,2059.0,2003.0,1897.0,2059.6000000000004,93.0,1.96,81.5,1978.1000000000004,2141.1000000000004,0.4,81.5,0.0,3.8,2059.6 (±81.5),0.4 (±81.5),0.0% (±3.8%),154559,0.3,52.7,0.3(±52.7)
Female,Cyprus,2020,244.0,227.0,193.0,221.0,222.0,222.0,221.79999999999998,12.2,1.96,10.7,211.1,232.49999999999997,22.2,10.7,10.0,5.1,221.8 (±10.7),22.2 (±10.7),10.0% (±5.1%),30090,73.8,35.5,73.8(±35.5)
Female,Cyprus,2020,244.0,227.0,193.0,221.0,222.0,222.0,221.79999999999998,12.2,1.96,10.7,211.1,232.49999999999997,22.2,10.7,10.0,5.1,221.8 (±10.7),22.2 (±10.7),10.0% (±5.1%),27062,82.0,39.6,82.0(±39.6)
Female,Cyprus,2020,244.0,227.0,193.0,221.0,222.0,222.0,221.79999999999998,12.2,1.96,10.7,211.1,232.49999999999997,22.2,10.7,10.0,5.1,221.8 (±10.7),22.2 (±10.7),10.0% (±5.1%),26641,83.3,40.2,83.3(±40.2)
