Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Female,Austria,2020,1689.0,1703.0,1701.0,1593.0,1577.0,1623.0,1663.4000000000003,53.2,1.96,46.6,1616.8000000000004,1710.0000000000002,25.6,46.6,1.5,2.7,1663.4 (±46.6),25.6 (±46.6),1.5% (±2.7%),237161,10.8,19.6,10.8(±19.6)
Female,Belgium,2020,2625.0,2379.0,2267.0,2261.0,2325.0,2332.0,2348.0,44.0,1.96,38.6,2309.4,2386.6,277.0,38.6,11.8,1.8,2348.0 (±38.6),277.0 (±38.6),11.8% (±1.8%),321281,86.2,12.0,86.2(±12.0)
Female,Bulgaria,2020,3975.0,3292.0,3154.0,3218.0,3186.0,3101.0,3240.6,63.9,1.96,56.0,3184.6,3296.6,734.4,56.0,22.7,2.1,3240.6 (±56.0),734.4 (±56.0),22.7% (±2.1%),258560,284.0,21.7,284.0(±21.7)
Female,Croatia,2020,1466.0,1195.0,1285.0,1314.0,1272.0,1176.0,1269.2000000000003,53.5,1.96,46.9,1222.3000000000002,1316.1000000000004,196.8,46.9,15.5,4.1,1269.2 (±46.9),196.8 (±46.9),15.5% (±4.1%),142394,138.2,32.9,138.2(±32.9)
Female,Cyprus,2020,120.0,133.0,114.0,117.0,119.0,119.0,123.60000000000001,6.6,1.96,5.8,117.80000000000001,129.4,-3.6,5.8,-2.9,4.4,123.6 (±5.8),-3.6 (±5.8),-2.9% (±4.4%),23116,-15.6,25.1,-15.6(±25.1)
Female,Czechia,2020,3539.0,3556.0,3399.0,3319.0,3318.0,3109.0,3401.7999999999993,144.5,1.96,126.7,3275.0999999999995,3528.499999999999,137.2,126.7,4.0,3.7,3401.8 (±126.7),137.2 (±126.7),4.0% (±3.7%),363248,37.8,34.9,37.8(±34.9)
Female,Denmark,2020,1385.0,1566.0,1478.0,1319.0,1421.0,1400.0,1462.3999999999992,82.3,1.96,72.1,1390.2999999999993,1534.499999999999,-77.4,72.1,-5.3,4.4,1462.4 (±72.1),-77.4 (±72.1),-5.3% (±4.4%),163541,-47.3,44.1,-47.3(±44.1)
Female,Estonia,2020,403.0,358.0,372.0,370.0,443.0,335.0,379.59999999999997,36.2,1.96,31.7,347.9,411.29999999999995,23.4,31.7,6.2,8.2,379.6 (±31.7),23.4 (±31.7),6.2% (±8.2%),45393,51.5,69.9,51.5(±69.9)
Female,Finland,2020,1224.0,1411.0,1240.0,1295.0,1237.0,1228.0,1307.0,68.6,1.96,60.1,1246.9,1367.1,-83.0,60.1,-6.4,4.1,1307.0 (±60.1),-83.0 (±60.1),-6.4% (±4.1%),185685,-44.7,32.4,-44.7(±32.4)
Female,France,2020,12617.0,11547.0,11628.0,11572.0,11689.0,11608.0,11827.199999999999,48.9,1.96,42.9,11784.3,11870.099999999999,789.8,42.9,6.7,0.4,11827.2 (±42.9),789.8 (±42.9),6.7% (±0.4%),2067425,38.2,2.1,38.2(±2.1)
Female,Greece,2020,2204.0,2045.0,1920.0,1913.0,1910.0,1836.0,1958.3999999999999,67.4,1.96,59.1,1899.3,2017.4999999999998,245.6,59.1,12.5,3.3,1958.4 (±59.1),245.6 (±59.1),12.5% (±3.3%),323057,76.0,18.3,76.0(±18.3)
Female,Hungary,2020,5359.0,4130.0,4062.0,4286.0,4414.0,4421.0,4344.200000000001,145.9,1.96,127.9,4216.300000000001,4472.1,1014.8,127.9,23.4,3.6,4344.2 (±127.9),1014.8 (±127.9),23.4% (±3.6%),366614,276.8,34.9,276.8(±34.9)
