Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Total,Austria,2020,75824.0,66210.0,64221.0,63508.0,65293.0,65974.0,66270.80000000002,1031.8,1.96,904.4,65366.400000000016,67175.20000000001,9553.2,904.4,14.4,1.5,66270.8 (±904.4),9553.2 (±904.4),14.4% (±1.5%),8901064,107.3,10.2,107.3(±10.2)
Total,Belgium,2020,108337.0,88707.0,87502.0,85674.0,88150.0,86854.0,89075.80000000003,1054.1,1.96,924.0,88151.80000000003,89999.80000000003,19261.2,924.0,21.6,1.2,89075.8 (±924.0),19261.2 (±924.0),21.6% (±1.2%),11522440,167.2,8.0,167.2(±8.0)
Total,Bulgaria,2020,106136.0,90281.0,86982.0,85799.0,86927.0,85333.0,88783.6,1730.4,1.96,1516.8,87266.8,90300.40000000001,17352.4,1516.8,19.5,2.0,88783.6 (±1516.8),17352.4 (±1516.8),19.5% (±2.0%),6951482,249.6,21.8,249.6(±21.8)
Total,Croatia,2020,48394.0,43854.0,41876.0,41577.0,42113.0,41011.0,42923.00000000001,957.6,1.96,839.4,42083.600000000006,43762.40000000001,5471.0,839.4,12.7,2.1,42923.0 (±839.4),5471.0 (±839.4),12.7% (±2.1%),4058165,134.8,20.7,134.8(±20.7)
Total,Cyprus,2020,5285.0,4703.0,4354.0,4580.0,4612.0,4881.0,4718.000000000001,171.6,1.96,150.4,4567.600000000001,4868.400000000001,567.0,150.4,12.0,3.4,4718.0 (±150.4),567.0 (±150.4),12.0% (±3.4%),888005,63.9,16.9,63.9(±16.9)
Total,Czechia,2020,110437.0,90266.0,87679.0,87399.0,91120.0,90493.0,91116.20000000003,1540.7,1.96,1350.5,89765.70000000003,92466.70000000003,19320.8,1350.5,21.2,1.8,91116.2 (±1350.5),19320.8 (±1350.5),21.2% (±1.8%),10693939,180.7,12.6,180.7(±12.6)
Total,Denmark,2020,45815.0,43421.0,42791.0,42802.0,44340.0,43482.0,44156.0,568.1,1.96,498.0,43658.0,44654.0,1659.0,498.0,3.8,1.2,44156.0 (±498.0),1659.0 (±498.0),3.8% (±1.2%),5822763,28.5,8.5,28.5(±8.5)
Total,Estonia,2020,13410.0,12531.0,12444.0,12245.0,12606.0,12316.0,12642.799999999997,133.1,1.96,116.7,12526.099999999997,12759.499999999998,767.2,116.7,6.1,1.0,12642.8 (±116.7),767.2 (±116.7),6.1% (±1.0%),1328976,57.7,8.8,57.7(±8.8)
Total,Finland,2020,46023.0,43422.0,43320.0,42961.0,44135.0,43543.0,44365.80000000001,382.4,1.96,335.2,44030.60000000001,44701.00000000001,1657.2,335.2,3.7,0.7,44365.8 (±335.2),1657.2 (±335.2),3.7% (±0.7%),5525292,30.0,6.1,30.0(±6.1)
Total,France,2020,564198.0,481159.0,482065.0,477183.0,487298.0,487716.0,492697.80000000005,3969.4,1.96,3479.3,489218.50000000006,496177.10000000003,71500.2,3479.3,14.5,0.8,492697.8 (±3479.3),71500.2 (±3479.3),14.5% (±0.8%),67320216,106.2,5.2,106.2(±5.2)
Total,Greece,2020,108019.0,98074.0,95555.0,97129.0,97339.0,99171.0,99508.79999999997,1188.1,1.96,1041.4,98467.39999999998,100550.19999999997,8510.2,1041.4,8.6,1.2,99508.8 (±1041.4),8510.2 (±1041.4),8.6% (±1.2%),10718565,79.4,9.7,79.4(±9.7)
Total,Hungary,2020,119020.0,106102.0,102929.0,102383.0,105154.0,101373.0,105603.39999999998,1764.4,1.96,1546.6,104056.79999999997,107149.99999999999,13416.6,1546.6,12.7,1.6,105603.4 (±1546.6),13416.6 (±1546.6),12.7% (±1.6%),9769526,137.3,15.9,137.3(±15.9)
Total,Iceland,2020,1876.0,1795.0,1900.0,1802.0,1803.0,1890.0,1878.0000000000005,46.7,1.96,40.9,1837.1000000000004,1918.9000000000005,-2.0,40.9,-0.1,2.1,1878.0 (±40.9),-2.0 (±40.9),-0.1% (±2.1%),364134,-0.5,11.2,-0.5(±11.2)
