Sex,Location,Year,Week,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Female,Austria,2020,10,71.0,84.0,74.0,78.0,87.0,64.0,77.4,8.1,1.96,7.1,70.30000000000001,84.5,-6.4,7.1,-8.3,7.7,77.4 (±7.1),-6.4 (±7.1),-8.3% (±7.7%),281274,-2.3,2.5,-2.3(±2.5)
Female,Austria,2020,10,71.0,84.0,74.0,78.0,87.0,64.0,77.4,8.1,1.96,7.1,70.30000000000001,84.5,-6.4,7.1,-8.3,7.7,77.4 (±7.1),-6.4 (±7.1),-8.3% (±7.7%),313946,-2.0,2.2,-2.0(±2.2)
Female,Austria,2020,10,71.0,84.0,74.0,78.0,87.0,64.0,77.4,8.1,1.96,7.1,70.30000000000001,84.5,-6.4,7.1,-8.3,7.7,77.4 (±7.1),-6.4 (±7.1),-8.3% (±7.7%),354457,-1.8,2.0,-1.8(±2.0)
Female,Austria,2020,10,71.0,84.0,74.0,78.0,87.0,64.0,77.4,8.1,1.96,7.1,70.30000000000001,84.5,-6.4,7.1,-8.3,7.7,77.4 (±7.1),-6.4 (±7.1),-8.3% (±7.7%),343335,-1.9,2.1,-1.9(±2.1)
Female,Austria,2020,10,71.0,84.0,74.0,78.0,87.0,64.0,77.4,8.1,1.96,7.1,70.30000000000001,84.5,-6.4,7.1,-8.3,7.7,77.4 (±7.1),-6.4 (±7.1),-8.3% (±7.7%),289698,-2.2,2.4,-2.2(±2.4)
Female,Austria,2020,11,78.0,86.0,83.0,62.0,75.0,81.0,77.4,8.5,1.96,7.5,69.9,84.9,0.6,7.5,0.8,8.9,77.4 (±7.5),0.6 (±7.5),0.8% (±8.9%),281274,0.2,2.7,0.2(±2.7)
Female,Austria,2020,11,78.0,86.0,83.0,62.0,75.0,81.0,77.4,8.5,1.96,7.5,69.9,84.9,0.6,7.5,0.8,8.9,77.4 (±7.5),0.6 (±7.5),0.8% (±8.9%),313946,0.2,2.4,0.2(±2.4)
Female,Austria,2020,11,78.0,86.0,83.0,62.0,75.0,81.0,77.4,8.5,1.96,7.5,69.9,84.9,0.6,7.5,0.8,8.9,77.4 (±7.5),0.6 (±7.5),0.8% (±8.9%),354457,0.2,2.1,0.2(±2.1)
Female,Austria,2020,11,78.0,86.0,83.0,62.0,75.0,81.0,77.4,8.5,1.96,7.5,69.9,84.9,0.6,7.5,0.8,8.9,77.4 (±7.5),0.6 (±7.5),0.8% (±8.9%),343335,0.2,2.2,0.2(±2.2)
Female,Austria,2020,11,78.0,86.0,83.0,62.0,75.0,81.0,77.4,8.5,1.96,7.5,69.9,84.9,0.6,7.5,0.8,8.9,77.4 (±7.5),0.6 (±7.5),0.8% (±8.9%),289698,0.2,2.6,0.2(±2.6)
