Sex,Location,Year,Week,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Female,Austria,2020,10,27.0,47.0,57.0,36.0,49.0,47.0,47.2,6.7,1.96,5.9,41.300000000000004,53.1,-20.2,5.9,-42.8,6.4,47.2 (±5.9),-20.2 (±5.9),-42.8% (±6.4%),237161,-8.5,2.5,-8.5(±2.5)
Female,Austria,2020,11,41.0,50.0,42.0,44.0,51.0,42.0,45.8,3.9,1.96,3.4,42.4,49.199999999999996,-4.8,3.4,-10.5,6.2,45.8 (±3.4),-4.8 (±3.4),-10.5% (±6.2%),237161,-2.0,1.4,-2.0(±1.4)
Female,Austria,2020,12,42.0,48.0,31.0,44.0,37.0,43.0,40.6,6.0,1.96,5.3,35.300000000000004,45.9,1.4,5.3,3.4,11.9,40.6 (±5.3),1.4 (±5.3),3.4% (±11.9%),237161,0.6,2.2,0.6(±2.2)
Female,Austria,2020,13,42.0,45.0,43.0,44.0,44.0,43.0,43.8,0.7,1.96,0.6,43.199999999999996,44.4,-1.8,0.6,-4.1,1.3,43.8 (±0.6),-1.8 (±0.6),-4.1% (±1.3%),237161,-0.8,0.3,-0.8(±0.3)
Female,Austria,2020,14,30.0,44.0,35.0,40.0,37.0,39.0,39.0,3.0,1.96,2.6,36.4,41.6,-9.0,2.6,-23.1,4.8,39.0 (±2.6),-9.0 (±2.6),-23.1% (±4.8%),237161,-3.8,1.1,-3.8(±1.1)
Female,Austria,2020,15,34.0,45.0,42.0,44.0,51.0,36.0,43.6,4.8,1.96,4.2,39.4,47.800000000000004,-9.6,4.2,-22.0,6.9,43.6 (±4.2),-9.6 (±4.2),-22.0% (±6.9%),237161,-4.0,1.7,-4.0(±1.7)
Female,Austria,2020,16,37.0,34.0,42.0,48.0,31.0,43.0,39.6,6.2,1.96,5.4,34.2,45.0,-2.6,5.4,-6.6,11.2,39.6 (±5.4),-2.6 (±5.4),-6.6% (±11.2%),237161,-1.1,2.3,-1.1(±2.3)
Female,Austria,2020,17,32.0,52.0,46.0,31.0,38.0,44.0,42.2,7.2,1.96,6.3,35.900000000000006,48.5,-10.2,6.3,-24.2,9.8,42.2 (±6.3),-10.2 (±6.3),-24.2% (±9.8%),237161,-4.3,2.7,-4.3(±2.7)
Female,Austria,2020,18,32.0,41.0,40.0,37.0,44.0,29.0,38.2,5.1,1.96,4.5,33.7,42.7,-6.2,4.5,-16.2,8.9,38.2 (±4.5),-6.2 (±4.5),-16.2% (±8.9%),237161,-2.6,1.9,-2.6(±1.9)
Female,Austria,2020,19,41.0,40.0,40.0,31.0,32.0,43.0,37.2,4.8,1.96,4.2,33.0,41.400000000000006,3.8,4.2,10.2,11.2,37.2 (±4.2),3.8 (±4.2),10.2% (±11.2%),237161,1.6,1.8,1.6(±1.8)
