Sex,Location,Year,Week,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Total,Austria,2020,10,1744.0,1846.0,1532.0,1614.0,1965.0,1812.0,1753.8,158.3,1.96,138.8,1615.0,1892.6,-9.8,138.8,-0.6,7.3,1753.8 (±138.8),-9.8 (±138.8),-0.6% (±7.3%),8901064,-0.1,1.5,-0.1(±1.5)
Total,Austria,2020,11,1718.0,1763.0,1516.0,1542.0,1946.0,1792.0,1711.8,161.9,1.96,141.9,1569.8999999999999,1853.7,6.2,141.9,0.4,7.7,1711.8 (±141.9),6.2 (±141.9),0.4% (±7.7%),8901064,0.1,1.6,0.1(±1.6)
Total,Austria,2020,12,1836.0,1696.0,1499.0,1535.0,1641.0,1621.0,1598.4,71.8,1.96,62.9,1535.5,1661.3000000000002,237.6,62.9,14.9,4.4,1598.4 (±62.9),237.6 (±62.9),14.9% (±4.4%),8901064,2.7,0.7,2.7(±0.7)
Total,Austria,2020,13,1765.0,1725.0,1598.0,1489.0,1766.0,1653.0,1646.2,97.6,1.96,85.6,1560.6000000000001,1731.8,118.8,85.6,7.2,5.3,1646.2 (±85.6),118.8 (±85.6),7.2% (±5.3%),8901064,1.3,1.0,1.3(±1.0)
Total,Austria,2020,14,1828.0,1604.0,1562.0,1537.0,1617.0,1607.0,1585.4,30.7,1.96,26.9,1558.5,1612.3000000000002,242.6,26.9,15.3,1.9,1585.4 (±26.9),242.6 (±26.9),15.3% (±1.9%),8901064,2.7,0.3,2.7(±0.3)
Total,Austria,2020,15,1793.0,1563.0,1520.0,1532.0,1560.0,1557.0,1546.4,17.2,1.96,15.1,1531.3000000000002,1561.5,246.6,15.1,15.9,1.1,1546.4 (±15.1),246.6 (±15.1),15.9% (±1.1%),8901064,2.8,0.1,2.8(±0.1)
Total,Austria,2020,16,1704.0,1614.0,1413.0,1475.0,1557.0,1559.0,1523.6,70.9,1.96,62.1,1461.5,1585.6999999999998,180.4,62.1,11.8,4.3,1523.6 (±62.1),180.4 (±62.1),11.8% (±4.3%),8901064,2.0,0.7,2.0(±0.7)
Total,Austria,2020,17,1588.0,1547.0,1460.0,1440.0,1383.0,1521.0,1470.2,58.5,1.96,51.3,1418.9,1521.5,117.8,51.3,8.0,3.6,1470.2 (±51.3),117.8 (±51.3),8.0% (±3.6%),8901064,1.3,0.6,1.3(±0.6)
Total,Austria,2020,18,1480.0,1453.0,1447.0,1527.0,1434.0,1464.0,1465.0,32.5,1.96,28.5,1436.5,1493.5,15.0,28.5,1.0,1.9,1465.0 (±28.5),15.0 (±28.5),1.0% (±1.9%),8901064,0.2,0.3,0.2(±0.3)
Total,Austria,2020,19,1520.0,1452.0,1486.0,1434.0,1372.0,1456.0,1440.0,37.9,1.96,33.2,1406.8,1473.2,80.0,33.2,5.6,2.4,1440.0 (±33.2),80.0 (±33.2),5.6% (±2.4%),8901064,0.9,0.4,0.9(±0.4)
