Age,Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
(40-44),Female,Blagoevgrad,2020,13,187.0,169.0,181.0,194.0,178.0,184.2,8.4,1.96,7.4,176.79999999999998,191.6,-171.2,7.4,-92.9,0.3,184.2 (±7.4),-171.2 (±7.4),-92.9% (±0.3%)
(45-49),Female,Blagoevgrad,2020,19,187.0,169.0,181.0,194.0,178.0,184.2,8.4,1.96,7.4,176.79999999999998,191.6,-165.2,7.4,-89.7,0.4,184.2 (±7.4),-165.2 (±7.4),-89.7% (±0.4%)
(50-54),Female,Blagoevgrad,2020,35,187.0,169.0,181.0,194.0,178.0,184.2,8.4,1.96,7.4,176.79999999999998,191.6,-149.2,7.4,-81.0,0.7,184.2 (±7.4),-149.2 (±7.4),-81.0% (±0.7%)
(55-59),Female,Blagoevgrad,2020,77,187.0,169.0,181.0,194.0,178.0,184.2,8.4,1.96,7.4,176.79999999999998,191.6,-107.2,7.4,-58.2,1.6,184.2 (±7.4),-107.2 (±7.4),-58.2% (±1.6%)
(60-64),Female,Blagoevgrad,2020,137,187.0,169.0,181.0,194.0,178.0,184.2,8.4,1.96,7.4,176.79999999999998,191.6,-47.2,7.4,-25.6,2.9,184.2 (±7.4),-47.2 (±7.4),-25.6% (±2.9%)
(40-44),Female,Bulgaria,2020,415,5295.0,5236.0,5129.0,5090.0,4720.0,5185.200000000001,200.8,1.96,176.0,5009.200000000001,5361.200000000001,-4770.2,176.0,-92.0,0.3,5185.2 (±176.0),-4770.2 (±176.0),-92.0% (±0.3%)
(45-49),Female,Bulgaria,2020,655,5295.0,5236.0,5129.0,5090.0,4720.0,5185.200000000001,200.8,1.96,176.0,5009.200000000001,5361.200000000001,-4530.2,176.0,-87.4,0.4,5185.2 (±176.0),-4530.2 (±176.0),-87.4% (±0.4%)
(50-54),Female,Bulgaria,2020,987,5295.0,5236.0,5129.0,5090.0,4720.0,5185.200000000001,200.8,1.96,176.0,5009.200000000001,5361.200000000001,-4198.2,176.0,-81.0,0.6,5185.2 (±176.0),-4198.2 (±176.0),-81.0% (±0.6%)
(55-59),Female,Bulgaria,2020,1576,5295.0,5236.0,5129.0,5090.0,4720.0,5185.200000000001,200.8,1.96,176.0,5009.200000000001,5361.200000000001,-3609.2,176.0,-69.6,1.0,5185.2 (±176.0),-3609.2 (±176.0),-69.6% (±1.0%)
(60-64),Female,Bulgaria,2020,2621,5295.0,5236.0,5129.0,5090.0,4720.0,5185.200000000001,200.8,1.96,176.0,5009.200000000001,5361.200000000001,-2564.2,176.0,-49.5,1.6,5185.2 (±176.0),-2564.2 (±176.0),-49.5% (±1.6%)
(40-44),Female,Burgas,2020,31,302.0,300.0,270.0,288.0,299.0,296.59999999999997,11.9,1.96,10.4,286.2,306.99999999999994,-265.6,10.4,-89.5,0.4,296.6 (±10.4),-265.6 (±10.4),-89.5% (±0.4%)
(45-49),Female,Burgas,2020,44,302.0,300.0,270.0,288.0,299.0,296.59999999999997,11.9,1.96,10.4,286.2,306.99999999999994,-252.6,10.4,-85.2,0.5,296.6 (±10.4),-252.6 (±10.4),-85.2% (±0.5%)
(50-54),Female,Burgas,2020,56,302.0,300.0,270.0,288.0,299.0,296.59999999999997,11.9,1.96,10.4,286.2,306.99999999999994,-240.6,10.4,-81.1,0.7,296.6 (±10.4),-240.6 (±10.4),-81.1% (±0.7%)
(55-59),Female,Burgas,2020,96,302.0,300.0,270.0,288.0,299.0,296.59999999999997,11.9,1.96,10.4,286.2,306.99999999999994,-200.6,10.4,-67.6,1.1,296.6 (±10.4),-200.6 (±10.4),-67.6% (±1.1%)
(60-64),Female,Burgas,2020,129,302.0,300.0,270.0,288.0,299.0,296.59999999999997,11.9,1.96,10.4,286.2,306.99999999999994,-167.6,10.4,-56.5,1.5,296.6 (±10.4),-167.6 (±10.4),-56.5% (±1.5%)
(40-44),Female,Dobrich,2020,16,158.0,139.0,158.0,151.0,136.0,152.4,9.3,1.96,8.2,144.20000000000002,160.6,-136.4,8.2,-89.5,0.5,152.4 (±8.2),-136.4 (±8.2),-89.5% (±0.5%)
(45-49),Female,Dobrich,2020,16,158.0,139.0,158.0,151.0,136.0,152.4,9.3,1.96,8.2,144.20000000000002,160.6,-136.4,8.2,-89.5,0.5,152.4 (±8.2),-136.4 (±8.2),-89.5% (±0.5%)
(50-54),Female,Dobrich,2020,33,158.0,139.0,158.0,151.0,136.0,152.4,9.3,1.96,8.2,144.20000000000002,160.6,-119.4,8.2,-78.3,1.2,152.4 (±8.2),-119.4 (±8.2),-78.3% (±1.2%)
(55-59),Female,Dobrich,2020,60,158.0,139.0,158.0,151.0,136.0,152.4,9.3,1.96,8.2,144.20000000000002,160.6,-92.4,8.2,-60.6,2.0,152.4 (±8.2),-92.4 (±8.2),-60.6% (±2.0%)
(60-64),Female,Dobrich,2020,82,158.0,139.0,158.0,151.0,136.0,152.4,9.3,1.96,8.2,144.20000000000002,160.6,-70.4,8.2,-46.2,2.7,152.4 (±8.2),-70.4 (±8.2),-46.2% (±2.7%)
(40-44),Female,Gabrovo,2020,5,70.0,82.0,94.0,84.0,72.0,81.20000000000002,8.7,1.96,7.6,73.60000000000002,88.80000000000001,-76.2,7.6,-93.8,0.6,81.2 (±7.6),-76.2 (±7.6),-93.8% (±0.6%)
(45-49),Female,Gabrovo,2020,9,70.0,82.0,94.0,84.0,72.0,81.20000000000002,8.7,1.96,7.6,73.60000000000002,88.80000000000001,-72.2,7.6,-88.9,1.0,81.2 (±7.6),-72.2 (±7.6),-88.9% (±1.0%)
(50-54),Female,Gabrovo,2020,14,70.0,82.0,94.0,84.0,72.0,81.20000000000002,8.7,1.96,7.6,73.60000000000002,88.80000000000001,-67.2,7.6,-82.8,1.4,81.2 (±7.6),-67.2 (±7.6),-82.8% (±1.4%)
(55-59),Female,Gabrovo,2020,23,70.0,82.0,94.0,84.0,72.0,81.20000000000002,8.7,1.96,7.6,73.60000000000002,88.80000000000001,-58.2,7.6,-71.7,2.4,81.2 (±7.6),-58.2 (±7.6),-71.7% (±2.4%)
(60-64),Female,Gabrovo,2020,55,70.0,82.0,94.0,84.0,72.0,81.20000000000002,8.7,1.96,7.6,73.60000000000002,88.80000000000001,-26.2,7.6,-32.3,5.8,81.2 (±7.6),-26.2 (±7.6),-32.3% (±5.8%)
(40-44),Female,Haskovo,2020,20,172.0,187.0,151.0,141.0,168.0,166.2,16.2,1.96,14.2,152.0,180.39999999999998,-146.2,14.2,-88.0,0.9,166.2 (±14.2),-146.2 (±14.2),-88.0% (±0.9%)
(45-49),Female,Haskovo,2020,14,172.0,187.0,151.0,141.0,168.0,166.2,16.2,1.96,14.2,152.0,180.39999999999998,-152.2,14.2,-91.6,0.6,166.2 (±14.2),-152.2 (±14.2),-91.6% (±0.6%)
(50-54),Female,Haskovo,2020,34,172.0,187.0,151.0,141.0,168.0,166.2,16.2,1.96,14.2,152.0,180.39999999999998,-132.2,14.2,-79.5,1.7,166.2 (±14.2),-132.2 (±14.2),-79.5% (±1.7%)
(55-59),Female,Haskovo,2020,42,172.0,187.0,151.0,141.0,168.0,166.2,16.2,1.96,14.2,152.0,180.39999999999998,-124.2,14.2,-74.7,2.0,166.2 (±14.2),-124.2 (±14.2),-74.7% (±2.0%)
(60-64),Female,Haskovo,2020,97,172.0,187.0,151.0,141.0,168.0,166.2,16.2,1.96,14.2,152.0,180.39999999999998,-69.2,14.2,-41.6,4.6,166.2 (±14.2),-69.2 (±14.2),-41.6% (±4.6%)
(40-44),Female,Kardzhali,2020,10,89.0,93.0,79.0,73.0,79.0,82.60000000000001,7.3,1.96,6.4,76.2,89.00000000000001,-72.6,6.4,-87.9,0.9,82.6 (±6.4),-72.6 (±6.4),-87.9% (±0.9%)
(45-49),Female,Kardzhali,2020,7,89.0,93.0,79.0,73.0,79.0,82.60000000000001,7.3,1.96,6.4,76.2,89.00000000000001,-75.6,6.4,-91.5,0.6,82.6 (±6.4),-75.6 (±6.4),-91.5% (±0.6%)
(50-54),Female,Kardzhali,2020,21,89.0,93.0,79.0,73.0,79.0,82.60000000000001,7.3,1.96,6.4,76.2,89.00000000000001,-61.6,6.4,-74.6,1.8,82.6 (±6.4),-61.6 (±6.4),-74.6% (±1.8%)
(55-59),Female,Kardzhali,2020,24,89.0,93.0,79.0,73.0,79.0,82.60000000000001,7.3,1.96,6.4,76.2,89.00000000000001,-58.6,6.4,-70.9,2.1,82.6 (±6.4),-58.6 (±6.4),-70.9% (±2.1%)
(60-64),Female,Kardzhali,2020,51,89.0,93.0,79.0,73.0,79.0,82.60000000000001,7.3,1.96,6.4,76.2,89.00000000000001,-31.6,6.4,-38.3,4.4,82.6 (±6.4),-31.6 (±6.4),-38.3% (±4.4%)
(40-44),Female,Kyustendil,2020,9,113.0,116.0,95.0,102.0,91.0,104.19999999999999,9.8,1.96,8.6,95.6,112.79999999999998,-95.2,8.6,-91.4,0.6,104.2 (±8.6),-95.2 (±8.6),-91.4% (±0.6%)
(45-49),Female,Kyustendil,2020,11,113.0,116.0,95.0,102.0,91.0,104.19999999999999,9.8,1.96,8.6,95.6,112.79999999999998,-93.2,8.6,-89.4,0.8,104.2 (±8.6),-93.2 (±8.6),-89.4% (±0.8%)
(50-54),Female,Kyustendil,2020,24,113.0,116.0,95.0,102.0,91.0,104.19999999999999,9.8,1.96,8.6,95.6,112.79999999999998,-80.2,8.6,-77.0,1.7,104.2 (±8.6),-80.2 (±8.6),-77.0% (±1.7%)
(55-59),Female,Kyustendil,2020,34,113.0,116.0,95.0,102.0,91.0,104.19999999999999,9.8,1.96,8.6,95.6,112.79999999999998,-70.2,8.6,-67.4,2.5,104.2 (±8.6),-70.2 (±8.6),-67.4% (±2.5%)
(60-64),Female,Kyustendil,2020,65,113.0,116.0,95.0,102.0,91.0,104.19999999999999,9.8,1.96,8.6,95.6,112.79999999999998,-39.2,8.6,-37.6,4.8,104.2 (±8.6),-39.2 (±8.6),-37.6% (±4.8%)
(40-44),Female,Lovech,2020,9,99.0,93.0,105.0,102.0,92.0,99.80000000000001,5.0,1.96,4.4,95.4,104.20000000000002,-90.8,4.4,-91.0,0.4,99.8 (±4.4),-90.8 (±4.4),-91.0% (±0.4%)
(45-49),Female,Lovech,2020,14,99.0,93.0,105.0,102.0,92.0,99.80000000000001,5.0,1.96,4.4,95.4,104.20000000000002,-85.8,4.4,-86.0,0.6,99.8 (±4.4),-85.8 (±4.4),-86.0% (±0.6%)
(50-54),Female,Lovech,2020,23,99.0,93.0,105.0,102.0,92.0,99.80000000000001,5.0,1.96,4.4,95.4,104.20000000000002,-76.8,4.4,-77.0,0.9,99.8 (±4.4),-76.8 (±4.4),-77.0% (±0.9%)
(55-59),Female,Lovech,2020,24,99.0,93.0,105.0,102.0,92.0,99.80000000000001,5.0,1.96,4.4,95.4,104.20000000000002,-75.8,4.4,-76.0,1.0,99.8 (±4.4),-75.8 (±4.4),-76.0% (±1.0%)
(60-64),Female,Lovech,2020,50,99.0,93.0,105.0,102.0,92.0,99.80000000000001,5.0,1.96,4.4,95.4,104.20000000000002,-49.8,4.4,-49.9,2.1,99.8 (±4.4),-49.8 (±4.4),-49.9% (±2.1%)
