index,Age,Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
0,Total,Total,Blagoevgrad,2020,4217,3339.0,3174.0,3189.0,3247.0,3201.0,3299.6000000000013,59.7,1.96,52.3,3247.300000000001,3351.9000000000015,917.4,52.3,27.8,2.0,3299.6 (±52.3),917.4 (±52.3),27.8% (±2.0%)
1,Total,Total,Bulgaria,2020,106114,90281.0,86982.0,85799.0,86927.0,85333.0,88783.6,1730.4,1.96,1516.8,87266.8,90300.40000000001,17330.4,1516.8,19.5,2.0,88783.6 (±1516.8),17330.4 (±1516.8),19.5% (±2.0%)
2,Total,Total,Burgas,2020,5261,4539.0,4424.0,4483.0,4439.0,4580.0,4578.6,59.1,1.96,51.8,4526.8,4630.400000000001,682.4,51.8,14.9,1.3,4578.6 (±51.8),682.4 (±51.8),14.9% (±1.3%)
3,Total,Total,Dobrich,2020,2765,2479.0,2272.0,2365.0,2357.0,2281.0,2406.0,74.5,1.96,65.3,2340.7,2471.3,359.0,65.3,14.9,3.0,2406.0 (±65.3),359.0 (±65.3),14.9% (±3.0%)
4,Total,Total,Gabrovo,2020,2154,1862.0,1768.0,1812.0,1729.0,1679.0,1806.7999999999997,63.6,1.96,55.7,1751.0999999999997,1862.4999999999998,347.2,55.7,19.2,3.5,1806.8 (±55.7),347.2 (±55.7),19.2% (±3.5%)
5,Total,Total,Haskovo,2020,3712,3282.0,3116.0,3076.0,3016.0,2974.0,3160.0000000000005,106.4,1.96,93.3,3066.7000000000003,3253.3000000000006,552.0,93.3,17.5,3.4,3160.0 (±93.3),552.0 (±93.3),17.5% (±3.4%)
6,Total,Total,Kardzhali,2020,1924,1546.0,1537.0,1532.0,1535.0,1527.0,1565.8,6.3,1.96,5.5,1560.3,1571.3,358.2,5.5,22.9,0.5,1565.8 (±5.5),358.2 (±5.5),22.9% (±0.5%)
7,Total,Total,Kyustendil,2020,2405,1999.0,2029.0,1974.0,1922.0,1896.0,1996.0000000000002,48.9,1.96,42.9,1953.1000000000001,2038.9000000000003,409.0,42.9,20.5,2.5,1996.0 (±42.9),409.0 (±42.9),20.5% (±2.5%)
8,Total,Total,Lovech,2020,2321,2105.0,2070.0,2057.0,2000.0,2042.0,2095.5999999999995,34.4,1.96,30.2,2065.3999999999996,2125.7999999999993,225.4,30.2,10.8,1.6,2095.6 (±30.2),225.4 (±30.2),10.8% (±1.6%)
9,Total,Total,Montana,2020,2719,2429.0,2345.0,2168.0,2265.0,2213.0,2323.2,93.4,1.96,81.9,2241.2999999999997,2405.1,395.8,81.9,17.0,3.9,2323.2 (±81.9),395.8 (±81.9),17.0% (±3.9%)
10,Total,Total,Pazardzhik,2020,4136,3326.0,3178.0,3204.0,3100.0,3141.0,3248.2000000000003,76.6,1.96,67.1,3181.1000000000004,3315.3,887.8,67.1,27.3,2.5,3248.2 (±67.1),887.8 (±67.1),27.3% (±2.5%)
11,Total,Total,Pernik,2020,2342,2003.0,1870.0,1912.0,1896.0,1903.0,1958.4,45.3,1.96,39.7,1918.7,1998.1000000000001,383.6,39.7,19.6,2.4,1958.4 (±39.7),383.6 (±39.7),19.6% (±2.4%)
12,Total,Total,Pleven,2020,4335,3892.0,3723.0,3584.0,3674.0,3675.0,3774.399999999999,101.7,1.96,89.1,3685.2999999999993,3863.499999999999,560.6,89.1,14.9,2.7,3774.4 (±89.1),560.6 (±89.1),14.9% (±2.7%)
13,Total,Total,Plovdiv,2020,9905,8132.0,7939.0,7654.0,7884.0,7708.0,8022.6,171.0,1.96,149.9,7872.700000000001,8172.5,1882.4,149.9,23.5,2.3,8022.6 (±149.9),1882.4 (±149.9),23.5% (±2.3%)
14,Total,Total,Razgrad,2020,2021,1580.0,1519.0,1510.0,1564.0,1489.0,1556.3999999999994,34.1,1.96,29.9,1526.4999999999993,1586.2999999999995,464.6,29.9,29.9,2.5,1556.4 (±29.9),464.6 (±29.9),29.9% (±2.5%)
15,Total,Total,Ruse,2020,3728,3111.0,3002.0,2810.0,3056.0,2938.0,3040.9999999999995,103.9,1.96,91.1,2949.8999999999996,3132.0999999999995,687.0,91.1,22.6,3.6,3041.0 (±91.1),687.0 (±91.1),22.6% (±3.6%)
16,Total,Total,Severen tsentralen,2020,13715,11573.0,11023.0,10948.0,11206.0,10855.0,11339.400000000003,253.7,1.96,222.4,11117.000000000004,11561.800000000003,2375.6,222.4,20.9,2.3,11339.4 (±222.4),2375.6 (±222.4),20.9% (±2.3%)
17,Total,Total,Severna i yugoiztochna Bulgaria,2020,56372,48951.0,46737.0,46260.0,47111.0,45892.0,47909.399999999994,1064.2,1.96,932.8,46976.59999999999,48842.2,8462.6,932.8,17.7,2.3,47909.4 (±932.8),8462.6 (±932.8),17.7% (±2.3%)
18,Total,Total,Severoiztochen,2020,13191,11279.0,10805.0,10761.0,11000.0,10509.0,11104.4,257.1,1.96,225.4,10879.0,11329.8,2086.6,225.4,18.8,2.4,11104.4 (±225.4),2086.6 (±225.4),18.8% (±2.4%)
19,Total,Total,Severozapaden,2020,14309,12912.0,12372.0,11968.0,12107.0,11997.0,12495.2,350.7,1.96,307.4,12187.800000000001,12802.6,1813.8,307.4,14.5,2.7,12495.2 (±307.4),1813.8 (±307.4),14.5% (±2.7%)
20,Total,Total,Shumen,2020,2691,2266.0,2073.0,2087.0,2231.0,2085.0,2187.5999999999995,82.6,1.96,72.4,2115.1999999999994,2259.9999999999995,503.4,72.4,23.0,3.9,2187.6 (±72.4),503.4 (±72.4),23.0% (±3.9%)
21,Total,Total,Silistra,2020,1985,1663.0,1441.0,1487.0,1590.0,1523.0,1575.2000000000003,78.1,1.96,68.5,1506.7000000000003,1643.7000000000003,409.8,68.5,26.0,5.2,1575.2 (±68.5),409.8 (±68.5),26.0% (±5.2%)
