Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc
(40-44),Female,Bulgaria,11,2020,10,154.0,115.0,127.0,116.0,106.0,123.6,16.6,1.96,14.6,109.0,138.2,-112.6,14.6
(45-49),Female,Bulgaria,18,2020,10,154.0,115.0,127.0,116.0,106.0,123.6,16.6,1.96,14.6,109.0,138.2,-105.6,14.6
(50-54),Female,Bulgaria,13,2020,10,154.0,115.0,127.0,116.0,106.0,123.6,16.6,1.96,14.6,109.0,138.2,-110.6,14.6
(55-59),Female,Bulgaria,32,2020,10,154.0,115.0,127.0,116.0,106.0,123.6,16.6,1.96,14.6,109.0,138.2,-91.6,14.6
(60-64),Female,Bulgaria,37,2020,10,154.0,115.0,127.0,116.0,106.0,123.6,16.6,1.96,14.6,109.0,138.2,-86.6,14.6
(40-44),Female,Severna i yugoiztochna Bulgaria,2,2020,10,75.0,63.0,68.0,71.0,57.0,66.8,6.3,1.96,5.5,61.3,72.3,-64.8,5.5
(45-49),Female,Severna i yugoiztochna Bulgaria,13,2020,10,75.0,63.0,68.0,71.0,57.0,66.8,6.3,1.96,5.5,61.3,72.3,-53.8,5.5
(50-54),Female,Severna i yugoiztochna Bulgaria,5,2020,10,75.0,63.0,68.0,71.0,57.0,66.8,6.3,1.96,5.5,61.3,72.3,-61.8,5.5
(55-59),Female,Severna i yugoiztochna Bulgaria,22,2020,10,75.0,63.0,68.0,71.0,57.0,66.8,6.3,1.96,5.5,61.3,72.3,-44.8,5.5
(60-64),Female,Severna i yugoiztochna Bulgaria,17,2020,10,75.0,63.0,68.0,71.0,57.0,66.8,6.3,1.96,5.5,61.3,72.3,-49.8,5.5
(40-44),Female,Severozapaden,0,2020,10,18.0,16.0,14.0,17.0,13.0,15.6,1.9,1.96,1.7,13.9,17.3,-15.6,1.7
(45-49),Female,Severozapaden,3,2020,10,18.0,16.0,14.0,17.0,13.0,15.6,1.9,1.96,1.7,13.9,17.3,-12.6,1.7
(50-54),Female,Severozapaden,2,2020,10,18.0,16.0,14.0,17.0,13.0,15.6,1.9,1.96,1.7,13.9,17.3,-13.6,1.7
(55-59),Female,Severozapaden,3,2020,10,18.0,16.0,14.0,17.0,13.0,15.6,1.9,1.96,1.7,13.9,17.3,-12.6,1.7
(60-64),Female,Severozapaden,2,2020,10,18.0,16.0,14.0,17.0,13.0,15.6,1.9,1.96,1.7,13.9,17.3,-13.6,1.7
(40-44),Female,Vidin,0,2020,10,2.0,1.0,2.0,3.0,2.0,2.0,0.6,1.96,0.5,1.5,2.5,-2.0,0.5
(45-49),Female,Vidin,0,2020,10,2.0,1.0,2.0,3.0,2.0,2.0,0.6,1.96,0.5,1.5,2.5,-2.0,0.5
(50-54),Female,Vidin,0,2020,10,2.0,1.0,2.0,3.0,2.0,2.0,0.6,1.96,0.5,1.5,2.5,-2.0,0.5
(55-59),Female,Vidin,0,2020,10,2.0,1.0,2.0,3.0,2.0,2.0,0.6,1.96,0.5,1.5,2.5,-2.0,0.5
(60-64),Female,Vidin,0,2020,10,2.0,1.0,2.0,3.0,2.0,2.0,0.6,1.96,0.5,1.5,2.5,-2.0,0.5
(40-44),Female,Montana,0,2020,10,3.0,3.0,2.0,3.0,3.0,2.8,0.4,1.96,0.4,2.4,3.1999999999999997,-2.8,0.4
(45-49),Female,Montana,0,2020,10,3.0,3.0,2.0,3.0,3.0,2.8,0.4,1.96,0.4,2.4,3.1999999999999997,-2.8,0.4
(50-54),Female,Montana,0,2020,10,3.0,3.0,2.0,3.0,3.0,2.8,0.4,1.96,0.4,2.4,3.1999999999999997,-2.8,0.4
(55-59),Female,Montana,1,2020,10,3.0,3.0,2.0,3.0,3.0,2.8,0.4,1.96,0.4,2.4,3.1999999999999997,-1.8,0.4
(60-64),Female,Montana,0,2020,10,3.0,3.0,2.0,3.0,3.0,2.8,0.4,1.96,0.4,2.4,3.1999999999999997,-2.8,0.4
(40-44),Female,Vratsa,0,2020,10,7.0,4.0,1.0,2.0,3.0,3.4,2.1,1.96,1.8,1.5999999999999999,5.2,-3.4,1.8
(45-49),Female,Vratsa,2,2020,10,7.0,4.0,1.0,2.0,3.0,3.4,2.1,1.96,1.8,1.5999999999999999,5.2,-1.4,1.8
(50-54),Female,Vratsa,1,2020,10,7.0,4.0,1.0,2.0,3.0,3.4,2.1,1.96,1.8,1.5999999999999999,5.2,-2.4,1.8
(55-59),Female,Vratsa,1,2020,10,7.0,4.0,1.0,2.0,3.0,3.4,2.1,1.96,1.8,1.5999999999999999,5.2,-2.4,1.8
