index,Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
0,Total,Total,Bulgaria,2048,2020,10,2469.0,2091.0,2233.0,2384.0,2167.0,2268.8,139.0,1.96,121.8,2147.0,2390.6000000000004,-220.8,121.8,-9.7,4.6,2268.8 (±121.8),-220.8 (±121.8),-9.7% (±4.6%)
1,Total,Total,Severna i yugoiztochna Bulgaria,1093,2020,10,1344.0,1125.0,1202.0,1360.0,1201.0,1246.4,90.8,1.96,79.6,1166.8000000000002,1326.0,-153.4,79.6,-12.3,5.3,1246.4 (±79.6),-153.4 (±79.6),-12.3% (±5.3%)
2,Total,Total,Severozapaden,274,2020,10,361.0,310.0,318.0,322.0,298.0,321.8,21.2,1.96,18.6,303.2,340.40000000000003,-47.8,18.6,-14.9,4.6,321.8 (±18.6),-47.8 (±18.6),-14.9% (±4.6%)
3,Total,Total,Vidin,32,2020,10,57.0,45.0,43.0,45.0,32.0,44.4,7.9,1.96,6.9,37.5,51.3,-12.4,6.9,-27.9,9.7,44.4 (±6.9),-12.4 (±6.9),-27.9% (±9.7%)
4,Total,Total,Montana,56,2020,10,63.0,69.0,50.0,57.0,53.0,58.4,6.9,1.96,6.0,52.4,64.4,-2.4,6.0,-4.1,8.9,58.4 (±6.0),-2.4 (±6.0),-4.1% (±8.9%)
5,Total,Total,Vratsa,59,2020,10,98.0,51.0,64.0,64.0,66.0,68.6,15.6,1.96,13.7,54.89999999999999,82.3,-9.6,13.7,-14.0,14.3,68.6 (±13.7),-9.6 (±13.7),-14.0% (±14.3%)
6,Total,Total,Pleven,75,2020,10,92.0,100.0,109.0,111.0,100.0,102.4,6.9,1.96,6.0,96.4,108.4,-27.4,6.0,-26.8,4.0,102.4 (±6.0),-27.4 (±6.0),-26.8% (±4.0%)
7,Total,Total,Lovech,52,2020,10,51.0,45.0,52.0,45.0,47.0,48.0,3.0,1.96,2.6,45.4,50.6,4.0,2.6,8.3,5.5,48.0 (±2.6),4.0 (±2.6),8.3% (±5.5%)
8,Total,Total,Severen tsentralen,284,2020,10,326.0,271.0,290.0,326.0,281.0,298.8,23.0,1.96,20.2,278.6,319.0,-14.8,20.2,-5.0,6.0,298.8 (±20.2),-14.8 (±20.2),-5.0% (±6.0%)
9,Total,Total,Veliko Tarnovo,79,2020,10,93.0,81.0,96.0,92.0,85.0,89.4,5.5,1.96,4.8,84.60000000000001,94.2,-10.4,4.8,-11.6,4.5,89.4 (±4.8),-10.4 (±4.8),-11.6% (±4.5%)
10,Total,Total,Gabrovo,40,2020,10,42.0,36.0,55.0,57.0,45.0,47.0,7.9,1.96,6.9,40.1,53.9,-7.0,6.9,-14.9,10.9,47.0 (±6.9),-7.0 (±6.9),-14.9% (±10.9%)
11,Total,Total,Ruse,73,2020,10,89.0,76.0,65.0,98.0,74.0,80.4,11.7,1.96,10.3,70.10000000000001,90.7,-7.4,10.3,-9.2,10.3,80.4 (±10.3),-7.4 (±10.3),-9.2% (±10.3%)
12,Total,Total,Razgrad,41,2020,10,50.0,36.0,40.0,48.0,36.0,42.0,5.9,1.96,5.2,36.8,47.2,-1.0,5.2,-2.4,10.7,42.0 (±5.2),-1.0 (±5.2),-2.4% (±10.7%)
13,Total,Total,Silistra,51,2020,10,52.0,42.0,34.0,31.0,41.0,40.0,7.3,1.96,6.4,33.6,46.4,11.0,6.4,27.5,17.6,40.0 (±6.4),11.0 (±6.4),27.5% (±17.6%)
14,Total,Total,Severoiztochen,238,2020,10,328.0,250.0,262.0,321.0,283.0,288.8,31.1,1.96,27.3,261.5,316.1,-50.8,27.3,-17.6,7.1,288.8 (±27.3),-50.8 (±27.3),-17.6% (±7.1%)
15,Total,Total,Varna,106,2020,10,135.0,105.0,106.0,135.0,125.0,121.2,13.3,1.96,11.7,109.5,132.9,-15.2,11.7,-12.5,7.7,121.2 (±11.7),-15.2 (±11.7),-12.5% (±7.7%)
16,Total,Total,Dobrich,38,2020,10,85.0,61.0,55.0,77.0,67.0,69.0,10.8,1.96,9.5,59.5,78.5,-31.0,9.5,-44.9,6.7,69.0 (±9.5),-31.0 (±9.5),-44.9% (±6.7%)
17,Total,Total,Shumen,54,2020,10,63.0,52.0,54.0,67.0,51.0,57.4,6.4,1.96,5.6,51.8,63.0,-3.4,5.6,-5.9,8.4,57.4 (±5.6),-3.4 (±5.6),-5.9% (±8.4%)
18,Total,Total,Targovishte,40,2020,10,45.0,32.0,47.0,42.0,40.0,41.2,5.2,1.96,4.6,36.6,45.800000000000004,-1.2,4.6,-2.9,9.8,41.2 (±4.6),-1.2 (±4.6),-2.9% (±9.8%)
