Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
Female,Blagoevgrad,2020,14,14.0,13.0,9.0,15.0,5.0,11.2,3.7,1.96,3.2,7.999999999999999,14.399999999999999,2.8,3.2,25.0,27.8,11.2 (±3.2),2.8 (±3.2),25.0% (±27.8%)
Female,Bulgaria,2020,309,328.0,296.0,293.0,305.0,299.0,313.00000000000006,12.5,1.96,11.0,302.00000000000006,324.00000000000006,-4.0,11.0,-1.3,3.3,313.0 (±11.0),-4.0 (±11.0),-1.3% (±3.3%)
Female,Burgas,2020,17,14.0,24.0,18.0,18.0,16.0,17.999999999999996,3.3,1.96,2.9,15.099999999999996,20.899999999999995,-1.0,2.9,-5.6,13.1,18.0 (±2.9),-1.0 (±2.9),-5.6% (±13.1%)
Female,Dobrich,2020,8,4.0,9.0,14.0,7.0,12.0,10.000000000000002,3.5,1.96,3.1,6.900000000000002,13.100000000000001,-2.0,3.1,-20.0,18.9,10.0 (±3.1),-2.0 (±3.1),-20.0% (±18.9%)
Female,Gabrovo,2020,2,4.0,6.0,4.0,0.0,1.0,3.0000000000000004,2.2,1.96,1.9,1.1000000000000005,4.9,-1.0,1.9,-33.3,25.9,3.0 (±1.9),-1.0 (±1.9),-33.3% (±25.9%)
Female,Haskovo,2020,11,10.0,8.0,14.0,6.0,15.0,10.599999999999996,3.4,1.96,3.0,7.599999999999996,13.599999999999996,0.4,3.0,3.8,22.9,10.6 (±3.0),0.4 (±3.0),3.8% (±22.9%)
Female,Kardzhali,2020,10,9.0,7.0,7.0,9.0,8.0,8.800000000000004,0.9,1.96,0.8,8.000000000000004,9.600000000000005,1.2,0.8,13.6,9.4,8.8 (±0.8),1.2 (±0.8),13.6% (±9.4%)
Female,Kyustendil,2020,7,9.0,5.0,3.0,5.0,7.0,6.6000000000000005,2.0,1.96,1.8,4.800000000000001,8.4,0.4,1.8,6.1,22.8,6.6 (±1.8),0.4 (±1.8),6.1% (±22.8%)
Female,Lovech,2020,3,5.0,9.0,6.0,6.0,6.0,6.400000000000002,1.4,1.96,1.2,5.200000000000002,7.600000000000002,-3.4,1.2,-53.1,7.4,6.4 (±1.2),-3.4 (±1.2),-53.1% (±7.4%)
Female,Montana,2020,10,7.0,7.0,4.0,5.0,12.0,7.000000000000003,2.8,1.96,2.5,4.500000000000003,9.500000000000004,3.0,2.5,42.9,37.6,7.0 (±2.5),3.0 (±2.5),42.9% (±37.6%)
Female,Pazardzhik,2020,14,11.0,7.0,11.0,11.0,10.0,10.0,1.5,1.96,1.3,8.7,11.3,4.0,1.3,40.0,16.1,10.0 (±1.3),4.0 (±1.3),40.0% (±16.1%)
Female,Pernik,2020,4,5.0,3.0,4.0,2.0,3.0,4.2,1.0,1.96,0.9,3.3000000000000003,5.1000000000000005,-0.2,0.9,-4.8,16.8,4.2 (±0.9),-0.2 (±0.9),-4.8% (±16.8%)
Female,Pleven,2020,14,5.0,3.0,12.0,6.0,10.0,7.200000000000004,3.3,1.96,2.9,4.300000000000004,10.100000000000003,6.8,2.9,94.4,55.8,7.2 (±2.9),6.8 (±2.9),94.4% (±55.8%)
Female,Plovdiv,2020,24,26.0,24.0,27.0,26.0,22.0,25.800000000000004,1.8,1.96,1.6,24.200000000000003,27.400000000000006,-1.8,1.6,-7.0,5.4,25.8 (±1.6),-1.8 (±1.6),-7.0% (±5.4%)
Female,Razgrad,2020,4,4.0,8.0,4.0,11.0,3.0,6.000000000000002,3.0,1.96,2.6,3.4000000000000017,8.600000000000001,-2.0,2.6,-33.3,20.2,6.0 (±2.6),-2.0 (±2.6),-33.3% (±20.2%)
Female,Ruse,2020,9,7.0,3.0,9.0,13.0,7.0,7.800000000000003,3.2,1.96,2.8,5.0000000000000036,10.600000000000003,1.2,2.8,15.4,30.5,7.8 (±2.8),1.2 (±2.8),15.4% (±30.5%)
Female,Severen tsentralen,2020,29,33.0,35.0,34.0,35.0,25.0,32.400000000000006,3.8,1.96,3.3,29.100000000000005,35.7,-3.4,3.3,-10.5,8.3,32.4 (±3.3),-3.4 (±3.3),-10.5% (±8.3%)
Female,Severna i yugoiztochna Bulgaria,2020,163,154.0,155.0,153.0,167.0,153.0,160.4,5.4,1.96,4.7,155.70000000000002,165.1,2.6,4.7,1.6,2.9,160.4 (±4.7),2.6 (±4.7),1.6% (±2.9%)
Female,Severoiztochen,2020,45,41.0,29.0,47.0,43.0,38.0,42.0,6.1,1.96,5.3,36.7,47.3,3.0,5.3,7.1,12.0,42.0 (±5.3),3.0 (±5.3),7.1% (±12.0%)
Female,Severozapaden,2020,37,26.0,37.0,33.0,32.0,39.0,33.400000000000006,4.5,1.96,3.9,29.500000000000007,37.300000000000004,3.6,3.9,10.8,11.6,33.4 (±3.9),3.6 (±3.9),10.8% (±11.6%)
Female,Shumen,2020,9,6.0,6.0,3.0,15.0,4.0,6.800000000000002,4.3,1.96,3.8,3.0000000000000018,10.600000000000001,2.2,3.8,32.4,47.5,6.8 (±3.8),2.2 (±3.8),32.4% (±47.5%)
Female,Silistra,2020,7,4.0,8.0,5.0,2.0,6.0,5.0,2.0,1.96,1.8,3.2,6.8,2.0,1.8,40.0,37.1,5.0 (±1.8),2.0 (±1.8),40.0% (±37.1%)
Female,Sliven,2020,15,11.0,9.0,10.0,17.0,13.0,12.0,2.8,1.96,2.5,9.5,14.5,3.0,2.5,25.0,21.6,12.0 (±2.5),3.0 (±2.5),25.0% (±21.6%)
