Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
Female,Blagoevgrad,2020,157,106.0,101.0,97.0,115.0,106.0,108.19999999999999,6.0,1.96,5.3,102.89999999999999,113.49999999999999,48.8,5.3,45.1,6.8,108.2 (±5.3),48.8 (±5.3),45.1% (±6.8%)
Female,Bulgaria,2020,3975,3292.0,3154.0,3218.0,3186.0,3101.0,3240.6,63.9,1.96,56.0,3184.6,3296.6,734.4,56.0,22.7,2.1,3240.6 (±56.0),734.4 (±56.0),22.7% (±2.1%)
Female,Burgas,2020,194,187.0,154.0,171.0,163.0,171.0,170.0,10.9,1.96,9.6,160.4,179.6,24.0,9.6,14.1,6.1,170.0 (±9.6),24.0 (±9.6),14.1% (±6.1%)
Female,Dobrich,2020,123,103.0,116.0,91.0,106.0,85.0,100.19999999999999,11.0,1.96,9.6,90.6,109.79999999999998,22.8,9.6,22.8,10.8,100.2 (±9.6),22.8 (±9.6),22.8% (±10.8%)
Female,Gabrovo,2020,70,77.0,67.0,71.0,54.0,65.0,66.80000000000001,7.6,1.96,6.7,60.10000000000001,73.50000000000001,3.2,6.7,4.8,9.6,66.8 (±6.7),3.2 (±6.7),4.8% (±9.6%)
Female,Haskovo,2020,140,124.0,91.0,102.0,102.0,105.0,107.20000000000002,10.7,1.96,9.4,97.80000000000001,116.60000000000002,32.8,9.4,30.6,10.5,107.2 (±9.4),32.8 (±9.4),30.6% (±10.5%)
Female,Kardzhali,2020,78,51.0,56.0,59.0,48.0,54.0,53.6,3.8,1.96,3.3,50.300000000000004,56.9,24.4,3.3,45.5,8.4,53.6 (±3.3),24.4 (±3.3),45.5% (±8.4%)
Female,Kyustendil,2020,82,66.0,66.0,63.0,69.0,51.0,63.0,6.3,1.96,5.5,57.5,68.5,19.0,5.5,30.2,10.5,63.0 (±5.5),19.0 (±5.5),30.2% (±10.5%)
Female,Lovech,2020,63,85.0,61.0,52.0,82.0,71.0,72.60000000000002,12.4,1.96,10.9,61.700000000000024,83.50000000000003,-9.6,10.9,-13.2,11.4,72.6 (±10.9),-9.6 (±10.9),-13.2% (±11.4%)
Female,Montana,2020,100,72.0,69.0,81.0,83.0,80.0,77.80000000000003,5.5,1.96,4.8,73.00000000000003,82.60000000000002,22.2,4.8,28.5,7.4,77.8 (±4.8),22.2 (±4.8),28.5% (±7.4%)
Female,Pazardzhik,2020,166,124.0,113.0,110.0,106.0,110.0,115.79999999999998,6.1,1.96,5.3,110.49999999999999,121.09999999999998,50.2,5.3,43.4,6.3,115.8 (±5.3),50.2 (±5.3),43.4% (±6.3%)
