Sex,Location,Year,Week,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
Female,Blagoevgrad,2020,10,4,2.0,3.0,4.0,2.0,1.0,2.4,1.0,1.96,0.9,1.5,3.3,1.6,0.9,66.7,45.5,2.4 (±0.9),1.6 (±0.9),66.7% (±45.5%)
Female,Blagoevgrad,2020,11,2,4.0,2.0,3.0,2.0,4.0,3.0,0.9,1.96,0.8,2.2,3.8,-1.0,0.8,-33.3,14.1,3.0 (±0.8),-1.0 (±0.8),-33.3% (±14.1%)
Female,Blagoevgrad,2020,12,5,6.0,3.0,5.0,2.0,6.0,4.4,1.6,1.96,1.4,3.0000000000000004,5.800000000000001,0.6,1.4,13.6,27.4,4.4 (±1.4),0.6 (±1.4),13.6% (±27.4%)
Female,Blagoevgrad,2020,13,1,5.0,4.0,2.0,2.0,6.0,3.8,1.6,1.96,1.4,2.4,5.199999999999999,-2.8,1.4,-73.7,7.1,3.8 (±1.4),-2.8 (±1.4),-73.7% (±7.1%)
Female,Blagoevgrad,2020,14,4,3.0,1.0,3.0,0.0,5.0,2.4,1.7,1.96,1.5,0.8999999999999999,3.9,1.6,1.5,66.7,64.1,2.4 (±1.5),1.6 (±1.5),66.7% (±64.1%)
Female,Blagoevgrad,2020,15,4,1.0,0.0,4.0,9.0,4.0,3.6,3.1,1.96,2.7,0.8999999999999999,6.300000000000001,0.4,2.7,11.1,47.6,3.6 (±2.7),0.4 (±2.7),11.1% (±47.6%)
Female,Blagoevgrad,2020,16,0,1.0,0.0,2.0,2.0,4.0,1.8,1.3,1.96,1.1,0.7,2.9000000000000004,-1.8,1.1,-100.0,0.0,1.8 (±1.1),-1.8 (±1.1),-100.0% (±0.0%)
Female,Blagoevgrad,2020,17,2,4.0,5.0,1.0,3.0,3.0,3.2,1.3,1.96,1.1,2.1,4.300000000000001,-1.2,1.1,-37.5,16.0,3.2 (±1.1),-1.2 (±1.1),-37.5% (±16.0%)
Female,Blagoevgrad,2020,18,4,4.0,4.0,1.0,4.0,2.0,3.0,1.3,1.96,1.1,1.9,4.1,1.0,1.1,33.3,35.7,3.0 (±1.1),1.0 (±1.1),33.3% (±35.7%)
Female,Blagoevgrad,2020,19,3,2.0,1.0,4.0,5.0,1.0,2.6,1.6,1.96,1.4,1.2000000000000002,4.0,0.4,1.4,15.4,40.4,2.6 (±1.4),0.4 (±1.4),15.4% (±40.4%)
