title,link,date,article_text,dt_str
1046 са новодиагностицираните с коронавирусна инфекция лица у нас през изминалите 24 часа,https://www.mh.government.bg/bg/novini/aktualno/1046-sa-novodiagnosticiranite-s-koronavirusna-infe/,01.01.2021,"
1046 са новодиагностицираните с коронавирусна инфекция лица у нас през изминалото денонощие. 744 от тях са установени с PCR, а 302 - с бързи антигенни тестове. Общо 5739 теста са направени през последните 24 часа. 3591 от тях са PCR, а 2148 – антигенни. Това показва Националната информационна система. Разпределението по области по настоящ адрес на лицата е, както следва: Благоевград – 41; Бургас – 81; Варна – 100; Велико Търново – 27; Видин – 13; Враца – 47; Габрово – 8; Добрич – 26; Кърджали – 14; Кюстендил – 18; Ловеч – 18; Монтана – 8; Пазарджик – 28; Перник – 33; Плевен – 38; Пловдив – 107; Разград – 8; Русе – 21; Силистра – 15; Сливен – 34; Смолян – 13; София област – 23; София град – 155; Стара Загора – 59; Търговище – 12; Хасково – 44; Шумен – 33; Ямбол - 22.
202266 са общо потвърдените случаи на новия коронавирус у нас. 75163 от тях са активни. 119527 са излекуваните лица, от които 1192 са регистрирани през последното денонощие.
В лечебни заведения са настанени 4756 пациенти с доказан COVID-19, от които 464 се намират в интензивни отделения или клиники.
Общо 4739 лица са се ваксинирали срещу коронавирусна инфекция до момента, като 131 от тях са се ваксинирали през изминалите 24 часа.
Според Националната информационна система медицинските служители, при които е констатиран новият коронавирус у нас, са общо 8911. Нови 44 случая са регистрирани през последното денонощие. 8 от тях са установени при лекари, 19 - при медицински сестри, 10 - при санитари и 7 - при друг медицински персонал.
Починалите лица, при които е бил потвърден COVID-19, са 7576. Новите случаи, регистрирани през изминалото денонощие, са 61. Починали са:

мъж на 71 г. с хронично неврологично и хронично бъбречно заболяване;

мъж на 58 г., за когото към момента няма информация за придружаващи заболявания;

жена на 68 г. със сърдечно заболяване;

мъж на 28 г. с хронично белодробно заболяване;

мъж на 72 г. със сърдечно и хронично белодробно заболяване;

мъж на 77 г. със сърдечно заболяване;

мъж на 89 г. със сърдечно и хронично белодробно заболяване;

мъж на 88 г. с хронично белодробно и сърдечно заболяване;

мъж на 74 г. със сърдечно заболяване;

мъж на 70 г. със сърдечно заболяване;

мъж на 73 г. със сърдечно заболяване;

мъж на 66 г. със сърдечно заболяване;

мъж на 72 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 52 г. с онкологично и сърдечно заболяване;

мъж на 58 г. със сърдечно заболяване;

жена на 56 г. с диабет и сърдечно заболяване;

мъж на 52 г. с хронично белодробно заболяване;

жена на 72 г., за която към момента няма информация за придружаващи заболявания;

мъж на 71 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 66 г. със сърдечно заболяване;

мъж на 62 г. с хронично белодробно заболяване;

мъж на 85 г. със сърдечно и хронично белодробно заболяване;

мъж на 74 г. със сърдечно заболяване;

мъж на 62 г. с онкологично заболяване;

жена на 77 г. с онкологично заболяване;

мъж на 85 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 64 г. със сърдечно заболяване;

мъж на 79 г., за когото в системата все още не са въведени придружаващи заболявания;

жена на 71 г. със сърдечно заболяване;

мъж на 68 г. със сърдечно заболяване;

мъж на 86 г. със сърдечно заболяване;

мъж на 68 г. с хронично неврологично и сърдечно заболяване;

мъж на 74 г. със сърдечно заболяване;

жена на 91 г. със сърдечно заболяване;

мъж на 47 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 84 г. със сърдечно заболяване и диабет;

мъж на 65 г. с онкологично заболяване;

жена на 72 г. с диабет и сърдечно заболяване;

мъж на 80 г. със сърдечно и хронично белодробно заболяване;

мъж на 74 г. със сърдечно и хронично бъбречно заболяване;

мъж на 80 г. с онкологично и сърдечно заболяване;

жена на 74 г. с диабет, сърдечно, онкологично и хронично бъбречно заболяване;

мъж на 71 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 56 г. с диабет;

мъж на 73 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 88 г. със сърдечно заболяване;

мъж на 78 г. със сърдечно заболяване;

жена на 80 г., за която към момента няма информация за придружаващи заболявания;

мъж на 80 г. с хронично белодробно заболяване;

мъж на 86 г. със сърдечно, хронично белодробно и хронично бъбречно заболяване;

мъж на 76 г. със сърдечно заболяване;

мъж на 56 г. с хронично чернодробно заболяване;

мъж на 30 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 57 г. със сърдечно заболяване;

мъж на 72 г. с диабет и сърдечно заболяване;

жена на 87 г. със сърдечно заболяване;

мъж на 62 г. с диабет, затлъстяване, сърдечно, хронично бъбречно и хронично неврологично заболяване;

жена на 52 г., за която към момента няма информация за придружаващи заболявания;

жена на 67 г. с онкологично заболяване;

жена на 71 г., за която към момента няма информация за придружаващи заболявания;

жена на 75 г., за която към момента няма информация за придружаващи заболявания.

Министерството на здравеопазването изказва съболезнования на семействата и близките на починалите.

Актуални данни за разпространението на COVID-19 по света можете да видите на този линк:
https://www.mh.government.bg/bg/informaciya-za-grazhdani/razprostrnenie-na-covid-19-po-sveta-danni-na-ecdc/
",01 Януари 2021
274 нови случая на COVID-19 са потвърдени в България през последното денонощие,https://www.mh.government.bg/bg/novini/aktualno/274-novi-sluchaya-na-covid-19-sa-potvrdeni-v-blgar/,02.01.2021,"
274 са новодиагностицираните с COVID-19 лица у нас през последното денонощие, от които 160 са установени с PCR, а 114 - с бързи антигенни тестове. Тестовете, направени през изминалите 24 часа, са общо 2447. От тях 1831 са PCR, а 616 - антигенни. Това показват данните в Националната информационна система. Разпределението по области по настоящ адрес на лицата е, както следва: Благоевград – 9; Бургас – 35; Варна – 44; Видин – 3; Враца – 5; Габрово – 2; Добрич – 9; Кърджали – 3; Кюстендил – 8; Ловеч – 8; Монтана – 3; Перник – 6; Плевен – 1; Пловдив – 13; Русе – 8; Силистра – 2; Сливен – 7; Смолян – 3; София област – 11; София град – 76; Стара Загора – 4; Търговище – 2; Хасково – 3; Шумен – 3; Ямбол - 6.
Общо 202540 са доказаните случаи на новия коронавирус у нас към момента, като от тях активни са 74593. Излекувани са 120343 лица. 816 от тях са регистрирани през изминалото денонощие.
С потвърдена коронавирусна инфекция в лечебни заведения за болнична помощ се намират общо 4747 пациенти. 462-ма от тях са настанени в интензивни структури.
До момента, в България, срещу COVID-19 са се ваксинирали общо 4739 лица. През последното денонощие не са регистрирани нови ваксинации.
Националната информационна система показва, че у нас коронавирусна инфекция е доказана при 8919 лица-медицински служители. Осем нови случая са регистрирани през последните 24 часа, като четири от тях са установени при лекари, три - при медицински сестри и един - при санитар.
7604 са починалите лица, при които е бил констатиран новият коронавирус. През изминалото денонощие са регистрирани нови 28 случая. Починали са:

мъж на 75 г., за когото в системата все още не са въведени придружаващи заболявания;

жена на 77 г., за която в системата все още не са въведени придружаващи заболявания;

мъж на 73 г. с онкологично, сърдечно и хронично неврологично заболяване;

жена на 85 г. с диабет;

мъж на 85 г. със сърдечно и хронично неврологично заболяване;

мъж на 71 г. със сърдечно заболяване и диабет;

мъж на 78 г. със сърдечно и хронично неврологично заболяване;

мъж на 62 г. със сърдечно заболяване и диабет;

мъж на 83 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 79 г., за когото към момента няма информация за придружаващи заболявания;

жена на 68 г., за която в системата все още не са въведени придружаващи заболявания;

жена на 81 г., за която в системата все още не са въведени придружаващи заболявания;

мъж на 57 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 71 г. с хронично белодробно заболяване;

жена на 74 г. със сърдечно заболяване;

мъж на 58 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 72 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 60 г., за когото към момента няма информация за придружаващи заболявания;

жена на 71 г. със сърдечно заболяване;

мъж на 62 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 75 г. с хронично белодробно заболяване;

жена на 69 г. със сърдечно заболяване;

жена на 88 г. със сърдечно заболяване;

жена на 82 г. със сърдечно и хронично неврологично заболяване;

мъж на 65 г. с хронично неврологично заболяване;

жена на 82 г. със сърдечно заболяване;

мъж на 66 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 68 г. с онкологично заболяване.

Министерството на здравеопазването изказва съболезнования на семействата и близките на починалите.

Актуални данни за разпространението на COVID-19 по света можете да видите на този линк:
https://www.mh.government.bg/bg/informaciya-za-grazhdani/razprostrnenie-na-covid-19-po-sveta-danni-na-ecdc/
",02 Януари 2021
"340 са новите случаи на коронавирусна инфекция, потвърдени у нас през изминалото денонощие",https://www.mh.government.bg/bg/novini/aktualno/340-sa-novite-sluchai-na-koronavirusna-infekciya-p/,03.01.2021,"
340 са новодиагностицираните с коронавирусна инфекция лица у нас през изминалото денонощие. От тях 181 са установени с PCR, а 159 - с бързи антигенни тестове. 2585 са общо тестовете, направени през последните 24 часа. 1867 от тях са PCR, а 718 - бързи. Това сочат данните в Националната информационна система. Разпределението по области по настоящ адрес на лицата е, както следва: Благоевград – 4; Бургас – 9; Варна – 18; Велико Търново – 2; Видин – 15; Враца – 16; Габрово – 4; Добрич – 12; Кюстендил – 10; Ловеч – 3; Монтана – 6; Пазарджик – 11; Перник – 6; Плевен – 21; Пловдив – 18; Разград – 1; Русе – 23; Силистра – 2; Сливен – 17; Смолян – 8; София област – 19; София град – 94; Стара Загора – 2; Хасково – 6; Шумен – 8; Ямбол - 5.
Потвърдените у нас случаи на новия коронавирус към момента са общо 202880. Активните случаи са 73769. Излекувани са 121467 лица, 1124 от които са регистрирани през последното денонощие.
Пациентите с доказан COVID-19, настанени в лечебни заведения за болнична помощ, са 4786. От тях 458 се намират в интензивни отделения или клиники.
4739 са общо ваксинираните срещу новия коронавирус лица в България до момента, като през последните 24 часа не са регистрирани нови ваксинации.
Според Националната информационна система медицинските служители, при които е констатирана коронавирусна инфекция у нас, са общо 8927. Нови осем случая са регистрирани през изминалото денонощие. Три от тях са установени при лекари, два - при медицински сестри, един - при санитар и два - при друг медицински персонал.
Починалите лица, при които е бил потвърден COVID-19, са 7644. Новите случаи, регистрирани през изминалите 24 часа, са 40. Починали са:

мъж на 66 г. със сърдечно заболяване и диабет;

мъж на 82 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 83 г. със сърдечно заболяване;

мъж на 65 г. със сърдечно заболяване;

мъж на 70 г. с диабет и хронично белодробно заболяване;

жена на 66 г., за която в системата все още не са въведени придружаващи заболявания;

жена на 83 г. със сърдечно заболяване;

жена на 61 г., за която към момента няма информация за придружаващи заболявания;

жена на 67 г., за която към момента няма информация за придружаващи заболявания;

жена на 80 г. със затлъстяване, астма и сърдечно заболяване;

мъж на 66 г. със сърдечно заболяване и диабет;

мъж на 60 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 72 г. с онкологично, сърдечно и хронично бъбречно заболяване;

жена на 79 г. със сърдечно заболяване;

мъж на 74 г. със сърдечно заболяване;

жена на 74 г. с диабет, сърдечно и хронично неврологично заболяване;

жена на 72 г. със сърдечно заболяване;

мъж на 74 г. със сърдечно заболяване и диабет;

мъж на 67 г. със сърдечно заболяване;

мъж на 81 г. със сърдечно и хронично неврологично заболяване;

мъж на 90 г. със сърдечно заболяване;

жена на 64 г. със сърдечно заболяване;

мъж на 88 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 79 г. със сърдечно и хронично неврологично заболяване;

жена на 71 г. с диабет и сърдечно заболяване;

мъж на 68 г. със сърдечно и хронично неврологично заболяване;

мъж на 76 г. със сърдечно заболяване;

жена на 88 г. с хронично белодробно заболяване;

мъж на 82 г. с диабет, сърдечно и хронично белодробно заболяване;

мъж на 83 г. със сърдечно заболяване;

жена на 75 г., за която в системата все още не са въведени придружаващи заболявания;

жена на 49 г. с хронично неврологично заболяване;

мъж на 81 г. със сърдечно заболяване;

мъж на 62 г., за когото към момента няма информация за придружаващи заболявания;

жена на 66 г., за която към момента няма информация за придружаващи заболявания;

мъж на 66 г. с диабет, онкологично и сърдечно заболяване;

мъж на 59 г. с хронично бъбречно и сърдечно заболяване;

мъж на 72 г. със сърдечно заболяване;

жена на 55 г., за която към момента няма информация за придружаващи заболявания;

мъж на 82 г., за когото към момента няма информация за придружаващи заболявания.

Министерството на здравеопазването изказва съболезнования на семействата и близките на починалите.

Актуални данни за разпространението на COVID-19 по света можете да видите на този линк:

https://www.mh.government.bg/bg/informaciya-za-grazhdani/razprostrnenie-na-covid-19-po-sveta-danni-na-ecdc/
",03 Януари 2021
171 са новодиагностицираните с COVID-19 лица у нас през последните 24 часа,https://www.mh.government.bg/bg/novini/aktualno/171-sa-novodiagnosticiranite-s-covid-19-lica-u-nas/,04.01.2021,"
171 са новодиагностицираните с COVID-19 лица у нас през изминалите 24 часа, като 72 от тях са установени с PCR, а 99 - с бързи антигенни тестове. Направените през последното денонощие тестове са общо 2660, от които 1816 са PCR, а 844 - антигенни. Това показва Националната информационна система. Разпределението по области по настоящ адрес на лицата е, както следва: Благоевград – 2; Бургас – 4; Варна – 18; Велико Търново – 1; Видин – 1; Враца – 8; Габрово – 1; Добрич – 5; Кърджали – 2; Кюстендил – 15; Ловеч – 2; Пазарджик – 3; Перник – 9; Плевен – 6; Пловдив – 11; Разград – 5; Русе – 7; Силистра – 2; Сливен – 1; Смолян – 1; София област – 5; София град – 58; Стара Загора – 3; Шумен - 1.
Случаите на новия коронавирус, потвърдени у нас към момента, са общо 203051. От тях 72962 са активни. 122411 са излекуваните лица. 944 от тях са регистрирани през изминалото денонощие.
4689 пациенти с доказана коронавирусна инфекция са настанени в лечебни заведения за болнична помощ. 453-ма от тях се намират в интензивни структури.
Общият брой на ваксинираните срещу COVID-19 лица у нас до момента е 4739. През последните 24 часа не са регистрирани нови ваксинации.
Националната информационна система показва, че у нас новият коронавирус е потвърден при общо 8933 лица-медицински служители. Шест са новите случаи, регистрирани през изминалото денонощие. От тях три са установени при медицински сестри, един - при санитар и два - при друг медицински персонал.

7678 са починалите лица, при които е била констатирана коронавирусна инфекция. През изминалите 24 часа са регистрирани 34 нови случая. Починали са:

мъж на 81 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 68 г. със затлъстяване, диабет и сърдечно заболяване;

жена на 81 г. със сърдечно заболяване и затлъстяване;

жена на 67 г. със сърдечно заболяване;

мъж на 87 г. със сърдечно и хронично неврологично заболяване;

мъж на 63 г. с диабет;

жена на 71 г. с онкологично, сърдечно и хронично белодробно заболяване;

жена на 61 г. със сърдечно заболяване;

жена на 91 г. със сърдечно заболяване;

мъж на 76 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 57 г. със сърдечно заболяване;

мъж на 77 г., за когото в системата все още не са въведени придружаващи заболявания;

жена на 82 г., за която в системата все още не са въведени придружаващи заболявания;

мъж на 88 г. със сърдечно заболяване;

мъж на 66 г., за когото в системата все още не са въведени придружаващи заболявания;

жена на 77 г. със сърдечно заболяване;

мъж на 76 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 91 г. със сърдечно заболяване;

мъж на 61 г. с хронично чернодробно заболяване;

мъж на 76 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 80 г. със сърдечно заболяване;

жена на 70 г. със затлъстяване, диабет, сърдечно и хронично белодробно заболяване;

мъж на 66 г. със сърдечно заболяване;

мъж на 71 г., за когото в системата все още не са въведени придружаващи заболявания;

жена на 67 г. със сърдечно заболяване;

жена на 63 г. със сърдечно заболяване;

мъж на 77 г. със сърдечно заболяване;

жена на 45 г., за която в системата все още не са въведени придружаващи заболявания;

жена на 67 г. със сърдечно заболяване;

мъж на 86 г. със сърдечно заболяване;

жена на 68 г. с диабет и сърдечно заболяване;

мъж на 71 г. със сърдечно и хронично неврологично заболяване;

мъж на 85 г. със сърдечно заболяване;

мъж на 81 г., за когото към момента няма информация за придружаващи заболявания.

Министерството на здравеопазването изказва съболезнования на семействата и близките на починалите.

Актуални данни за разпространението на COVID-19 по света можете да видите на този линк:
https://www.mh.government.bg/bg/informaciya-za-grazhdani/razprostrnenie-na-covid-19-po-sveta-danni-na-ecdc/
",04 Януари 2021
1029 нови случая на коронавирусна инфекция са потвърдени у нас през последното денонощие,https://www.mh.government.bg/bg/novini/aktualno/1029-novi-sluchaya-na-koronavirusna-infekciya-sa-p/,05.01.2021,"
1029 са новодиагностицираните с коронавирусна инфекция лица у нас през последното денонощие, 525 от които са установени с PCR, а 504 - с бързи антигенни тестове. Общият брой на тестовете, направени през изминалите 24 часа, е 10774. От тях 5435 са PCR, а 5339 - антигенни. Това показват данните в Националната информационна система. Разпределението по области по настоящ адрес на лицата е, както следва: Благоевград – 24; Бургас – 39; Варна – 102; Велико Търново – 38; Видин – 4; Враца – 37; Габрово – 12; Добрич – 23; Кърджали – 13; Кюстендил – 23; Ловеч – 35; Монтана – 18; Пазарджик – 25; Перник – 20; Плевен – 59; Пловдив – 94; Разград – 10; Русе – 47; Силистра – 22; Сливен – 29; Смолян – 4; София област – 19; София град – 178; Стара Загора – 46; Търговище – 1; Хасково – 37; Шумен – 48; Ямбол - 22.
У нас към момента са доказани общо 204080 случая на новия коронавирус. 71621 от тях са активни. 124624 са излекуваните лица, от които 2213 са регистрирани през изминалото денонощие.
4405 са пациентите с потвърден COVID-19, настанени в лечебни заведения за болнична помощ. В интензивни отделения или клиники се намират 411 от тях.
Според Националната информационна система медицинските служители, при които е констатирана коронавирусна инфекция у нас, са общо 8975. Нови 42 случая са регистрирани през изминалото денонощие. От тях 10 са установени при лекари, 13 - при медицински сестри, 9 - при санитари, 1 – при фелдшер и 9 - при друг медицински персонал.
Починалите лица, при които е бил доказан COVID-19, са 7835. През последното денонощие са регистрирани нови 157 случая. Починали са:

жена на 88 г. със сърдечно заболяване;

жена на 78 г. с хронично белодробно и сърдечно заболяване;

мъж на 78 г. със сърдечно заболяване и диабет;

мъж на 71 г., за когото в системата все още не са въведени придружаващи заболявания;

жена на 77 г., за която в системата все още не са въведени придружаващи заболявания;

мъж на 84 г. със сърдечно и хронично белодробно заболяване;

жена на 90 г. със сърдечно и хронично белодробно заболяване;

мъж на 77 г. с диабет, хронично белодробно и сърдечно заболяване;

жена на 89 г. с хронично белодробно и сърдечно заболяване;

мъж на 84 г. със сърдечно заболяване;

жена на 93 г. със сърдечно заболяване;

мъж на 76 г., за когото в системата все още не са въведени придружаващи заболявания;

жена на 64 г. със сърдечно, хронично белодробно и хронично хематологично заболяване;

жена на 72 г. с онкологично и хронично неврологично заболяване;

жена на 70 г. със сърдечно заболяване и диабет;

жена на 85 г. със сърдечно и хронично белодробно заболяване;

мъж на 71 г. със сърдечно и хронично чернодробно заболяване;

жена на 81 г., за която в системата все още не са въведени придружаващи заболявания;

мъж на 61 г. с диабет;

жена на 62 г., за която към момента няма информация за придружаващи заболявания;

жена на 88 г., за която към момента няма информация за придружаващи заболявания;

жена на 86 г. с диабет и сърдечно заболяване;

мъж на 61 г. със сърдечно заболяване и диабет;

жена на 85 г., за която в системата все още не са въведени придружаващи заболявания;

мъж на 79 г. със сърдечно и хронично белодробно заболяване;

мъж на 49 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 78 г. с диабет и сърдечно заболяване;

мъж на 84 г. със сърдечно заболяване;

мъж на 96 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 50 г. със сърдечно и хронично белодробно заболяване;

мъж на 67 г. със сърдечно заболяване;

мъж на 71 г., за когото към момента няма информация за придружаващи заболявания;

жена на 70 г. с диабет и сърдечно заболяване;

мъж на 75 г. със сърдечно заболяване;

жена на 73 г., за която към момента няма информация за придружаващи заболявания;

мъж на 76 г. със сърдечно заболяване;

мъж на 86 г. със сърдечно заболяване;

мъж на 62 г. с диабет;

мъж на 67 г. с диабет, сърдечно и хронично неврологично заболяване;

мъж на 59 г. с диабет и затлъстяване;

мъж на 90 г. със сърдечно и хронично белодробно заболяване;

мъж на 65 г. с диабет и хронично белодробно заболяване;

мъж на 78 г. с диабет и сърдечно заболяване;

жена на 77 г. със сърдечно и хронично белодробно заболяване;

мъж на 65 г., за когото към момента няма информация за придружаващи заболявания;

жена на 84 г. със сърдечно заболяване;

мъж на 85 г. със сърдечно заболяване;

жена на 73 г., за която към момента няма информация за придружаващи заболявания;

мъж на 67 г. със сърдечно заболяване;

мъж на 89 г. със сърдечно заболяване;

жена на 74 г. с диабет и сърдечно заболяване;

жена на 81 г. с диабет и сърдечно заболяване;

мъж на 50 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 88 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 65 г. с диабет;

жена на 80 г. със сърдечно и хронично неврологично заболяване;

мъж на 60 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 81 г. със сърдечно заболяване;

мъж на 70 г., за когото към момента няма информация за придружаващи заболявания;

жена на 86 г. с диабет и сърдечно заболяване;

мъж на 61 г. със сърдечно заболяване;

мъж на 65 г. със сърдечно и хронично белодробно заболяване;

мъж на 72 г. с онкологично и сърдечно заболяване;

жена на 69 г., за която към момента няма информация за придружаващи заболявания;

мъж на 67 г. с диабет, сърдечно и хронично бъбречно заболяване;

жена на 86 г. със сърдечно заболяване;

жена на 81 г. със сърдечно и онкологично заболяване;

мъж на 63 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 54 г. със сърдечно и хронично чернодробно заболяване;

мъж на 83 г. със сърдечно, хронично бъбречно и хронично неврологично заболяване;

мъж на 68 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 80 г., за когото в системата все още не са въведени придружаващи заболявания;

жена на 75 г. с хронично бъбречно заболяване;

мъж на 73 г. с хронично белодробно и сърдечно заболяване;

мъж на 83 г., за когото в системата все още не са въведени придружаващи заболявания;

жена на 58 г. със затлъстяване, диабет, сърдечно и хронично неврологично заболяване;

жена на 85 г., за която в системата все още не са въведени придружаващи заболявания;

мъж на 89 г. със сърдечно и хронично белодробно заболяване;

жена на 62 г. със сърдечно заболяване;

мъж на 83 г. със сърдечно заболяване;

мъж на 63 г. с онкологично и сърдечно заболяване;

мъж на 61 г. с онкологично и хронично белодробно заболяване;

мъж на 70 г. с диабет и сърдечно заболяване;

мъж на 65 г., за когото в системата все още не са въведени придружаващи заболявания;

жена на 76 г. с диабет, сърдечно и хронично бъбречно заболяване;

мъж на 47 г. със затлъстяване и сърдечно заболяване;

мъж на 79 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 64 г. със сърдечно и хронично белодробно заболяване;

мъж на 67 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 71 г. със сърдечно и хронично белодробно заболяване;

мъж на 37 г. с астма и затлъстяване;

жена на 73 г. със сърдечно заболяване;

жена на 82 г. със сърдечно и хронично белодробно заболяване;

жена на 64 г. с диабет, хронично белодробно и сърдечно заболяване;

мъж на 66 г. със сърдечно заболяване, диабет и затлъстяване;

жена на 78 г., за която в системата все още не са въведени придружаващи заболявания;

мъж на 74 г. със сърдечно заболяване;

жена на 60 г. със сърдечно заболяване;

жена на 74 г. със сърдечно заболяване и диабет;

мъж на 62 г. със сърдечно заболяване;

жена на 71 г. със сърдечно заболяване и диабет;

мъж на 82 г. с хронично белодробно и сърдечно заболяване;

мъж на 70 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 90 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 66 г. със сърдечно заболяване;

мъж на 82 г. със сърдечно заболяване;

жена на 74 г., за която към момента няма информация за придружаващи заболявания;

мъж на 66 г. със сърдечно и хронично белодробно заболяване;

жена на 65 г. с хронично белодробно и сърдечно заболяване;

мъж на 62 г. със сърдечно заболяване;

жена на 64 г. със сърдечно заболяване;

мъж на 67 г. със сърдечно заболяване;

мъж на 67 г. със сърдечно заболяване и диабет;

мъж на 90 г., за когото към момента няма информация за придружаващи заболявания;

жена на 78 г. с диабет и хронично белодробно заболяване;

мъж на 64 г. със сърдечно заболяване;

мъж на 75 г. със сърдечно и хронично неврологично заболяване;

жена на 55 г. с хронично бъбречно и сърдечно заболяване;

мъж на 77 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 56 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 69 г. с диабет, сърдечно, хронично неврологично и хронично хематологично заболяване;

мъж на 57 г. със сърдечно заболяване;

мъж на 71 г., за когото в системата все още не са въведени придружаващи заболявания;

мъж на 85 г. със сърдечно заболяване;

мъж на 79 г. със сърдечно и хронично белодробно заболяване;

жена на 74 г. със сърдечно заболяване и диабет;

мъж на 80 г. с диабет;

жена на 83 г. със сърдечно и хронично белодробно заболяване;

мъж на 65 г., за когото в системата все още не са въведени придружаващи заболявания;

жена на 55 г., за която в системата все още не са въведени придружаващи заболявания;

мъж на 68 г. със сърдечно заболяване и диабет;

мъж на 65 г. със сърдечно заболяване;

мъж на 78 г. с диабет, хронично белодробно и сърдечно заболяване;

мъж на 80 г. със сърдечно и хронично неврологично заболяване;

мъж на 69 г. със сърдечно и хронично неврологично заболяване;

жена на 79 г. със сърдечно заболяване;

жена на 57 г., за която в системата все още не са въведени придружаващи заболявания;

мъж на 84 г. със сърдечно и хронично бъбречно заболяване;

мъж на 61 г. със сърдечно, хронично неврологично и хронично белодробно заболяване;

мъж на 55 г. с диабет;

жена на 48 г. със затлъстяване и сърдечно заболяване;

мъж на 63 г. със сърдечно заболяване;

мъж на 85 г. със сърдечно заболяване;

жена на 40 г., за която към момента няма информация за придружаващи заболявания;

мъж на 77 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 55 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 73 г. с онкологично заболяване;

жена на 80 г., за която към момента няма информация за придружаващи заболявания;

мъж на 65 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 77 г., за когото към момента няма информация за придружаващи заболявания;

мъж на 60 г., за когото към момента няма информация за придружаващи заболявания;

жена на 79 г., за която към момента няма информация за придружаващи заболявания;

мъж на 70 г. с хронично неврологично заболяване;

жена на 88 г., за която към момента няма информация за придружаващи заболявания;

мъж на 66 г. със сърдечно заболяване;

жена на 77 г., за която към момента няма информация за придружаващи заболявания;

мъж на 61 г., за когото към момента няма информация за придружаващи заболявания.

Министерството на здравеопазването изказва съболезнования на семействата и близките на починалите.

Актуални данни за разпространението на COVID-19 по света можете да видите на този линк:
https://www.mh.government.bg/bg/informaciya-za-grazhdani/razprostrnenie-na-covid-19-po-sveta-danni-na-ecdc/
",05 Януари 2021
