Age,Sex,Life_Expectancy
0.0,Male,76.3289995826
1.0,Male,75.5464237261
2.0,Male,74.5668718972
3.0,Male,73.5753016103
4.0,Male,72.5827139048
5.0,Male,71.5908224201
6.0,Male,70.5996622933
7.0,Male,69.6076736066
8.0,Male,68.6137552564
9.0,Male,67.6186803248
10.0,Male,66.6240800913
11.0,Male,65.631617955
12.0,Male,64.6414629571
13.0,Male,63.6506285234
14.0,Male,62.6575687399
15.0,Male,61.6636406052
16.0,Male,60.6717458337
17.0,Male,59.6860305508
18.0,Male,58.7108459269
19.0,Male,57.7450157551
20.0,Male,56.7839505819
21.0,Male,55.8245274438
22.0,Male,54.8658872404
23.0,Male,53.9068450979
24.0,Male,52.9456206134
25.0,Male,51.981120331
26.0,Male,51.0142166601
27.0,Male,50.0473211001
28.0,Male,49.0826377438
29.0,Male,48.1204050992
30.0,Male,47.1586042711
31.0,Male,46.1956468583
32.0,Male,45.2321990548
33.0,Male,44.2707393764
34.0,Male,43.3129224779
35.0,Male,42.3579974475
36.0,Male,41.4030610084
37.0,Male,40.4468143192
38.0,Male,39.4905488211
39.0,Male,38.5370945681
40.0,Male,37.588183551
41.0,Male,36.6436158761
42.0,Male,35.7019651431
43.0,Male,34.7628619807
44.0,Male,33.8274812089
45.0,Male,32.8976710184
46.0,Male,31.9746217816
47.0,Male,31.0585704615
48.0,Male,30.1497793938
49.0,Male,29.2496792841
50.0,Male,28.3610395237
51.0,Male,27.4854960263
52.0,Male,26.621208392
53.0,Male,25.7627813407
54.0,Male,24.906818833
55.0,Male,24.054347424
56.0,Male,23.2098796535
57.0,Male,22.3772457126
58.0,Male,21.5584416302
59.0,Male,20.7540294127
60.0,Male,19.9649530014
61.0,Male,19.1929493604
62.0,Male,18.4397682524
63.0,Male,17.7056456443
64.0,Male,16.9887750662
65.0,Male,16.286760354
66.0,Male,15.5984220315
67.0,Male,14.9240436583
68.0,Male,14.2638943089
69.0,Male,13.6171311804
70.0,Male,12.9820047609
71.0,Male,12.3583685095
72.0,Male,11.7489873526
73.0,Male,11.1577454404
74.0,Male,10.5840503548
75.0,Male,10.0231621524
76.0,Male,9.4701877949
77.0,Male,8.9257841152
78.0,Male,8.394677966
79.0,Male,7.8815217195
80.0,Male,7.3881109994
81.0,Male,6.9148217792
82.0,Male,6.4626678673
83.0,Male,6.0313001354
84.0,Male,5.621246313
85.0,Male,5.2328905243
86.0,Male,4.866466284
87.0,Male,4.5220525082
88.0,Male,4.1995728015
89.0,Male,3.8987981575
90.0,Male,3.6193530777
91.0,Male,3.360724981
92.0,Male,3.122276652
93.0,Male,2.9032613962
94.0,Male,2.7028405497
95.0,Male,2.5201030859
96.0,Male,2.3540873523
97.0,Male,2.203805632
98.0,Male,2.0682735927
99.0,Male,1.9465495331
100.0,Male,1.8377943243
101.0,Male,1.7413758797
102.0,Male,1.6570706139
103.0,Male,1.5854792731
104.0,Male,1.5289250894
105.0,Male,1.4934589616
0.0,Female,82.1014818384
1.0,Female,81.2843907954
2.0,Female,80.3043311236
3.0,Female,79.312914208
4.0,Female,78.3201500519
5.0,Female,77.3273995451
6.0,Female,76.3349202966
7.0,Female,75.3422614992
8.0,Female,74.3488426557
9.0,Female,73.3546213958
10.0,Female,72.3599382184
11.0,Female,71.3652019331
12.0,Female,70.3707695136
13.0,Female,69.3770040071
14.0,Female,68.3842573454
15.0,Female,67.3928168363
16.0,Female,66.4028378073
17.0,Female,65.414345007
18.0,Female,64.4272068282
19.0,Female,63.4411308282
20.0,Female,62.4557980776
21.0,Female,61.4709321873
22.0,Female,60.4863254634
23.0,Female,59.501844386
24.0,Female,58.5174353698
25.0,Female,57.5330949011
26.0,Female,56.5488223834
27.0,Female,55.5646178045
28.0,Female,54.5805129833
29.0,Female,53.5966030448
30.0,Female,52.6130483181
31.0,Female,51.6300399986
32.0,Female,50.6477799546
33.0,Female,49.6664846819
34.0,Female,48.6863800202
35.0,Female,47.7076991539
36.0,Female,46.7306744197
37.0,Female,45.7554940504
38.0,Female,44.7822712488
39.0,Female,43.8110463825
40.0,Female,42.8418506013
41.0,Female,41.8747207903
42.0,Female,40.9097178135
43.0,Female,39.9469606226
44.0,Female,38.9866430084
45.0,Female,38.0290112682
46.0,Female,37.0743261206
47.0,Female,36.1228593397
48.0,Female,35.174888264
49.0,Female,34.2306892074
50.0,Female,33.2905356422
51.0,Female,32.3547250952
52.0,Female,31.4235989996
53.0,Female,30.4975460549
54.0,Female,29.57698416
55.0,Female,28.6623531229
56.0,Female,27.7541179977
57.0,Female,26.8527839846
58.0,Female,25.9589032936
59.0,Female,25.0730407675
60.0,Female,24.1956813103
61.0,Female,23.3271843682
62.0,Female,22.4677192361
63.0,Female,21.6171811878
64.0,Female,20.7751471675
65.0,Female,19.9411866071
66.0,Female,19.1152220699
67.0,Female,18.2976079493
68.0,Female,17.4890022251
69.0,Female,16.6902925088
70.0,Female,15.9025892466
71.0,Female,15.1269476051
72.0,Female,14.3642122205
73.0,Female,13.6148208776
74.0,Female,12.8792932038
75.0,Female,12.1584443346
76.0,Female,11.4533721196
77.0,Female,10.7654310539
78.0,Female,10.0961897573
79.0,Female,9.4473636856
80.0,Female,8.8207312582
81.0,Female,8.2180431978
82.0,Female,7.6409067766
83.0,Female,7.0897267031
84.0,Female,6.5654628265
85.0,Female,6.0689023631
86.0,Female,5.6006389108
87.0,Female,5.1610550955
88.0,Female,4.750309851
89.0,Female,4.3683312032
90.0,Female,4.0148152131
91.0,Female,3.6892314611
92.0,Female,3.3908351323
93.0,Female,3.1186854375
94.0,Female,2.8716698267
95.0,Female,2.6485332867
96.0,Female,2.4479120898
97.0,Female,2.2683718519
98.0,Female,2.1084510565
99.0,Female,1.9667140835
100.0,Female,1.8418240364
101.0,Female,1.7326593737
102.0,Female,1.6385292188
103.0,Female,1.5596135554
104.0,Female,1.4979236383
105.0,Female,1.4594882424
