Age,Sex,Life_Expectancy
0,Male,76.3289995826
1,Male,75.5464237261
2,Male,74.5668718972
3,Male,73.5753016103
4,Male,72.5827139048
5,Male,71.5908224201
6,Male,70.5996622933
7,Male,69.6076736066
8,Male,68.6137552564
9,Male,67.6186803248
10,Male,66.6240800913
11,Male,65.631617955
12,Male,64.6414629571
13,Male,63.6506285234
14,Male,62.6575687399
15,Male,61.6636406052
16,Male,60.6717458337
17,Male,59.6860305508
18,Male,58.7108459269
19,Male,57.7450157551
20,Male,56.7839505819
21,Male,55.8245274438
22,Male,54.8658872404
23,Male,53.9068450979
24,Male,52.9456206134
25,Male,51.981120331
26,Male,51.0142166601
27,Male,50.0473211001
28,Male,49.0826377438
29,Male,48.1204050992
30,Male,47.1586042711
31,Male,46.1956468583
32,Male,45.2321990548
33,Male,44.2707393764
34,Male,43.3129224779
35,Male,42.3579974475
36,Male,41.4030610084
37,Male,40.4468143192
38,Male,39.4905488211
39,Male,38.5370945681
40,Male,37.588183551
41,Male,36.6436158761
42,Male,35.7019651431
43,Male,34.7628619807
44,Male,33.8274812089
45,Male,32.8976710184
46,Male,31.9746217816
47,Male,31.0585704615
48,Male,30.1497793938
49,Male,29.2496792841
50,Male,28.3610395237
51,Male,27.4854960263
52,Male,26.621208392
53,Male,25.7627813407
54,Male,24.906818833
55,Male,24.054347424
56,Male,23.2098796535
57,Male,22.3772457126
58,Male,21.5584416302
59,Male,20.7540294127
60,Male,19.9649530014
61,Male,19.1929493604
62,Male,18.4397682524
63,Male,17.7056456443
64,Male,16.9887750662
65,Male,16.286760354
66,Male,15.5984220315
67,Male,14.9240436583
68,Male,14.2638943089
69,Male,13.6171311804
70,Male,12.9820047609
71,Male,12.3583685095
72,Male,11.7489873526
73,Male,11.1577454404
74,Male,10.5840503548
75,Male,10.0231621524
76,Male,9.4701877949
77,Male,8.9257841152
78,Male,8.394677966
79,Male,7.8815217195
80,Male,7.3881109994
81,Male,6.9148217792
82,Male,6.4626678673
83,Male,6.0313001354
84,Male,5.621246313
85,Male,5.2328905243
86,Male,4.866466284
87,Male,4.5220525082
88,Male,4.1995728015
89,Male,3.8987981575
90,Male,3.6193530777
91,Male,3.360724981
92,Male,3.122276652
93,Male,2.9032613962
94,Male,2.7028405497
95,Male,2.5201030859
96,Male,2.3540873523
97,Male,2.203805632
98,Male,2.0682735927
99,Male,1.9465495331
100,Male,1.8377943243
101,Male,1.7413758797
102,Male,1.6570706139
103,Male,1.5854792731
104,Male,1.5289250894
105,Male,1.4934589616
