Age,Sex,Life_Expectancy
0,Female,82.1014818384
1,Female,81.2843907954
2,Female,80.3043311236
3,Female,79.312914208
4,Female,78.3201500519
5,Female,77.3273995451
6,Female,76.3349202966
7,Female,75.3422614992
8,Female,74.3488426557
9,Female,73.3546213958
10,Female,72.3599382184
11,Female,71.3652019331
12,Female,70.3707695136
13,Female,69.3770040071
14,Female,68.3842573454
15,Female,67.3928168363
16,Female,66.4028378073
17,Female,65.414345007
18,Female,64.4272068282
19,Female,63.4411308282
20,Female,62.4557980776
21,Female,61.4709321873
22,Female,60.4863254634
23,Female,59.501844386
24,Female,58.5174353698
25,Female,57.5330949011
26,Female,56.5488223834
27,Female,55.5646178045
28,Female,54.5805129833
29,Female,53.5966030448
30,Female,52.6130483181
31,Female,51.6300399986
32,Female,50.6477799546
33,Female,49.6664846819
34,Female,48.6863800202
35,Female,47.7076991539
36,Female,46.7306744197
37,Female,45.7554940504
38,Female,44.7822712488
39,Female,43.8110463825
40,Female,42.8418506013
41,Female,41.8747207903
42,Female,40.9097178135
43,Female,39.9469606226
44,Female,38.9866430084
45,Female,38.0290112682
46,Female,37.0743261206
47,Female,36.1228593397
48,Female,35.174888264
49,Female,34.2306892074
50,Female,33.2905356422
51,Female,32.3547250952
52,Female,31.4235989996
53,Female,30.4975460549
54,Female,29.57698416
55,Female,28.6623531229
56,Female,27.7541179977
57,Female,26.8527839846
58,Female,25.9589032936
59,Female,25.0730407675
60,Female,24.1956813103
61,Female,23.3271843682
62,Female,22.4677192361
63,Female,21.6171811878
64,Female,20.7751471675
65,Female,19.9411866071
66,Female,19.1152220699
67,Female,18.2976079493
68,Female,17.4890022251
69,Female,16.6902925088
70,Female,15.9025892466
71,Female,15.1269476051
72,Female,14.3642122205
73,Female,13.6148208776
74,Female,12.8792932038
75,Female,12.1584443346
76,Female,11.4533721196
77,Female,10.7654310539
78,Female,10.0961897573
79,Female,9.4473636856
80,Female,8.8207312582
81,Female,8.2180431978
82,Female,7.6409067766
83,Female,7.0897267031
84,Female,6.5654628265
85,Female,6.0689023631
86,Female,5.6006389108
87,Female,5.1610550955
88,Female,4.750309851
89,Female,4.3683312032
90,Female,4.0148152131
91,Female,3.6892314611
92,Female,3.3908351323
93,Female,3.1186854375
94,Female,2.8716698267
95,Female,2.6485332867
96,Female,2.4479120898
97,Female,2.2683718519
98,Female,2.1084510565
99,Female,1.9667140835
100,Female,1.8418240364
101,Female,1.7326593737
102,Female,1.6385292188
103,Female,1.5596135554
104,Female,1.4979236383
105,Female,1.4594882424
