Age,Sex,Life_Expectancy
0,Male,65
1,Male,64
2,Male,63
3,Male,62
4,Male,61
5,Male,60
6,Male,59
7,Male,58
8,Male,57
9,Male,56
10,Male,55
11,Male,54
12,Male,53
13,Male,52
14,Male,51
15,Male,50
16,Male,49
17,Male,48
18,Male,47
19,Male,46
20,Male,45
21,Male,44
22,Male,43
23,Male,42
24,Male,41
25,Male,40
26,Male,39
27,Male,38
28,Male,37
29,Male,36
30,Male,35
31,Male,34
32,Male,33
33,Male,32
34,Male,31
35,Male,30
36,Male,29
37,Male,28
38,Male,27
39,Male,26
40,Male,25
41,Male,24
42,Male,23
43,Male,22
44,Male,21
45,Male,20
46,Male,19
47,Male,18
48,Male,17
49,Male,16
50,Male,15
51,Male,14
52,Male,13
53,Male,12
54,Male,11
55,Male,10
56,Male,9
57,Male,8
58,Male,7
59,Male,6
60,Male,5
61,Male,4
62,Male,3
63,Male,2
64,Male,1
0,Female,65
1,Female,64
2,Female,63
3,Female,62
4,Female,61
5,Female,60
6,Female,59
7,Female,58
8,Female,57
9,Female,56
10,Female,55
11,Female,54
12,Female,53
13,Female,52
14,Female,51
15,Female,50
16,Female,49
17,Female,48
18,Female,47
19,Female,46
20,Female,45
21,Female,44
22,Female,43
23,Female,42
24,Female,41
25,Female,40
26,Female,39
27,Female,38
28,Female,37
29,Female,36
30,Female,35
31,Female,34
32,Female,33
33,Female,32
34,Female,31
35,Female,30
36,Female,29
37,Female,28
38,Female,27
39,Female,26
40,Female,25
41,Female,24
42,Female,23
43,Female,22
44,Female,21
45,Female,20
46,Female,19
47,Female,18
48,Female,17
49,Female,16
50,Female,15
51,Female,14
52,Female,13
53,Female,12
54,Female,11
55,Female,10
56,Female,9
57,Female,8
58,Female,7
59,Female,6
60,Female,5
61,Female,4
62,Female,3
63,Female,2
64,Female,1
