YEAR,COUNTRY,AGEGROUP,SEX,Numeric
2019,Uzbekistan,(0-4),Male,71.0
2019,Uzbekistan,(5-9),Male,67.2
2019,Uzbekistan,(10-14),Male,62.3
2019,Uzbekistan,(15-19),Male,57.4
2019,Uzbekistan,(20-24),Male,52.7
2019,Uzbekistan,(25-29),Male,47.9
2019,Uzbekistan,(30-34),Male,43.2
2019,Uzbekistan,(35-39),Male,38.5
2019,Uzbekistan,(40-44),Male,33.9
2019,Uzbekistan,(45-49),Male,29.4
2019,Uzbekistan,(50-54),Male,25.1
2019,Uzbekistan,(55-59),Male,21.0
2019,Uzbekistan,(60-64),Male,17.3
2019,Uzbekistan,(65-69),Male,13.8
2019,Uzbekistan,(70-74),Male,11.1
2019,Uzbekistan,(75-79),Male,8.5
2019,Uzbekistan,(80-84),Male,6.7
2019,Uzbekistan,(85-89),Male,6.9
2019,Uzbekistan,(5-9),Female,71.3
2019,Uzbekistan,(10-14),Female,66.5
2019,Uzbekistan,(15-19),Female,61.6
2019,Uzbekistan,(20-24),Female,56.7
2019,Uzbekistan,(25-29),Female,51.9
2019,Uzbekistan,(30-34),Female,47.1
2019,Uzbekistan,(35-39),Female,42.3
2019,Uzbekistan,(40-44),Female,37.6
2019,Uzbekistan,(45-49),Female,32.9
2019,Uzbekistan,(50-54),Female,28.4
2019,Uzbekistan,(55-59),Female,23.9
2019,Uzbekistan,(60-64),Female,19.8
2019,Uzbekistan,(70-74),Female,12.8
2019,Uzbekistan,(75-79),Female,9.8
2019,Uzbekistan,(80-84),Female,7.9
2019,Uzbekistan,(85-89),Female,6.9
2019,Uzbekistan,(10-14),Total,64.4
2019,Uzbekistan,(15-19),Total,59.5
2019,Uzbekistan,(20-24),Total,54.7
2019,Uzbekistan,(25-29),Total,50.0
2019,Uzbekistan,(30-34),Total,45.2
2019,Uzbekistan,(35-39),Total,40.4
2019,Uzbekistan,(40-44),Total,35.8
2019,Uzbekistan,(45-49),Total,31.2
2019,Uzbekistan,(50-54),Total,26.8
2019,Uzbekistan,(55-59),Total,22.5
2019,Uzbekistan,(60-64),Total,18.6
2019,Uzbekistan,(65-69),Total,14.9
2019,Uzbekistan,(70-74),Total,12.0
2019,Uzbekistan,(75-79),Total,9.2
2019,Uzbekistan,(80-84),Total,7.4
2019,Uzbekistan,(85-89),Total,6.9
2019,Uzbekistan,,Male,70.8
2019,Uzbekistan,,Female,75.2
2019,Uzbekistan,(0-4),Female,75.2
2019,Uzbekistan,(65-69),Female,15.9
2019,Uzbekistan,,Total,73.0
2019,Uzbekistan,(0-4),Total,73.1
2019,Uzbekistan,(5-9),Total,69.3
2019,United Kingdom,(60-64),Male,23.0
2019,United Kingdom,(65-69),Male,18.9
2019,United Kingdom,(70-74),Male,15.0
2019,United Kingdom,(75-79),Male,11.5
2019,United Kingdom,(80-84),Male,8.4
2019,United Kingdom,(85-89),Male,5.7
2019,United Kingdom,(10-14),Female,73.3
2019,United Kingdom,(15-19),Female,68.4
2019,United Kingdom,(20-24),Female,63.4
2019,United Kingdom,(25-29),Female,58.5
2019,United Kingdom,(30-34),Female,53.6
2019,United Kingdom,(35-39),Female,48.7
2019,United Kingdom,(40-44),Female,43.8
2019,United Kingdom,(45-49),Female,39.0
2019,United Kingdom,(50-54),Female,34.3
2019,United Kingdom,(55-59),Female,29.7
2019,United Kingdom,(60-64),Female,25.2
2019,United Kingdom,(65-69),Female,20.9
2019,United Kingdom,(70-74),Female,16.8
2019,United Kingdom,(75-79),Female,12.9
2019,United Kingdom,(80-84),Female,9.4
2019,United Kingdom,(85-89),Female,6.3
2019,United Kingdom,,Female,83.0
2019,United Kingdom,(0-4),Female,82.3
2019,United Kingdom,(5-9),Female,78.3
2019,United Kingdom,,Male,79.8
2019,United Kingdom,(55-59),Total,28.5
2019,United Kingdom,(60-64),Total,24.1
2019,United Kingdom,(65-69),Total,20.0
2019,United Kingdom,(70-74),Total,16.0
2019,United Kingdom,(75-79),Total,12.3
2019,United Kingdom,(80-84),Total,8.9
2019,United Kingdom,(85-89),Total,6.0
2019,United Kingdom,(0-4),Male,79.1
2019,United Kingdom,(5-9),Male,75.2
2019,United Kingdom,(10-14),Male,70.2
2019,United Kingdom,(15-19),Male,65.2
2019,United Kingdom,(20-24),Male,60.3
2019,United Kingdom,(25-29),Male,55.4
2019,United Kingdom,(30-34),Male,50.6
2019,United Kingdom,(35-39),Male,45.8
2019,United Kingdom,(40-44),Male,41.0
2019,United Kingdom,(45-49),Male,36.3
2019,United Kingdom,(50-54),Male,31.8
2019,United Kingdom,(55-59),Male,27.3
2019,United Kingdom,(40-44),Total,42.4
2019,United Kingdom,(45-49),Total,37.7
2019,United Kingdom,(50-54),Total,33.1
2019,United Kingdom,,Total,81.4
2019,United Kingdom,(0-4),Total,80.7
2019,United Kingdom,(5-9),Total,76.8
2019,United Kingdom,(10-14),Total,71.8
2019,United Kingdom,(15-19),Total,66.8
2019,United Kingdom,(20-24),Total,61.9
2019,United Kingdom,(25-29),Total,57.0
2019,United Kingdom,(30-34),Total,52.1
2019,United Kingdom,(35-39),Total,47.2
2019,Ukraine,(80-84),Male,7.2
2019,Ukraine,(85-89),Male,5.9
2019,Ukraine,(65-69),Male,13.5
2019,Ukraine,(35-39),Female,44.1
2019,Ukraine,(40-44),Female,39.4
2019,Ukraine,(45-49),Female,34.9
2019,Ukraine,(50-54),Female,30.4
2019,Ukraine,(55-59),Female,26.0
2019,Ukraine,(60-64),Female,21.7
2019,Ukraine,(65-69),Female,17.7
2019,Ukraine,(70-74),Female,13.9
2019,Ukraine,(75-79),Female,10.6
2019,Ukraine,(80-84),Female,7.8
2019,Ukraine,(85-89),Female,5.6
2019,Ukraine,(70-74),Male,11.0
2019,Ukraine,(75-79),Male,8.8
2019,Ukraine,,Female,77.8
2019,Ukraine,(0-4),Female,77.4
2019,Ukraine,(5-9),Female,73.4
2019,Ukraine,(10-14),Female,68.5
2019,Ukraine,(15-19),Female,63.5
2019,Ukraine,(20-24),Female,58.6
2019,Ukraine,(25-29),Female,53.7
2019,Ukraine,,Male,68.0
2019,Ukraine,(45-49),Total,31.2
2019,Ukraine,(50-54),Total,27.2
2019,Ukraine,(55-59),Total,23.2
2019,Ukraine,(60-64),Total,19.5
2019,Ukraine,(65-69),Total,16.0
2019,Ukraine,(70-74),Total,12.9
2019,Ukraine,(75-79),Total,10.0
2019,Ukraine,(80-84),Total,7.6
2019,Ukraine,(85-89),Total,5.7
2019,Ukraine,(0-4),Male,67.6
2019,Ukraine,(5-9),Male,63.7
2019,Ukraine,(10-14),Male,58.7
2019,Ukraine,(15-19),Male,53.8
2019,Ukraine,(20-24),Male,49.0
2019,Ukraine,(25-29),Male,44.2
2019,Ukraine,(30-34),Male,39.6
2019,Ukraine,(35-39),Male,35.2
2019,Ukraine,(40-44),Male,31.0
2019,Ukraine,(45-49),Male,27.1
2019,Ukraine,(50-54),Male,23.3
2019,Ukraine,(55-59),Male,19.7
2019,Ukraine,(60-64),Male,16.4
2019,Ukraine,(30-34),Female,48.9
2019,Ukraine,,Total,73.0
2019,Ukraine,(0-4),Total,72.6
2019,Ukraine,(5-9),Total,68.7
2019,Ukraine,(10-14),Total,63.7
2019,Ukraine,(15-19),Total,58.8
2019,Ukraine,(20-24),Total,53.9
2019,Ukraine,(25-29),Total,49.1
2019,Ukraine,(30-34),Total,44.4
2019,Ukraine,(35-39),Total,39.8
2019,Ukraine,(40-44),Total,35.5
2019,Turkmenistan,(15-19),Male,55.3
2019,Turkmenistan,(20-24),Male,50.5
2019,Turkmenistan,(25-29),Male,45.8
2019,Turkmenistan,(30-34),Male,41.1
2019,Turkmenistan,(35-39),Male,36.6
2019,Turkmenistan,(40-44),Male,32.3
2019,Turkmenistan,(45-49),Male,28.1
2019,Turkmenistan,(70-74),Male,12.0
2019,Turkmenistan,(75-79),Male,10.2
2019,Turkmenistan,(80-84),Male,8.1
2019,Turkmenistan,(85-89),Male,6.9
2019,Turkmenistan,(50-54),Male,24.2
2019,Turkmenistan,(55-59),Male,20.5
2019,Turkmenistan,(60-64),Male,17.1
2019,Turkmenistan,(65-69),Male,14.1
2019,Turkmenistan,,Male,66.5
2019,Turkmenistan,(0-4),Male,68.6
2019,Turkmenistan,(5-9),Male,65.0
2019,Turkmenistan,(10-14),Male,60.2
2019,Turkmenistan,(80-84),Female,9.3
2019,Turkmenistan,(25-29),Total,48.7
2019,Turkmenistan,(30-34),Total,44.0
2019,Turkmenistan,(35-39),Total,39.4
2019,Turkmenistan,(40-44),Total,34.9
2019,Turkmenistan,(45-49),Total,30.5
2019,Turkmenistan,(50-54),Total,26.3
2019,Turkmenistan,(55-59),Total,22.3
2019,Turkmenistan,(60-64),Total,18.7
2019,Turkmenistan,(65-69),Total,15.3
2019,Turkmenistan,(70-74),Total,12.8
2019,Turkmenistan,(75-79),Total,10.8
2019,Turkmenistan,(80-84),Total,8.9
2019,Turkmenistan,(85-89),Total,7.1
2019,Turkmenistan,(85-89),Female,7.2
2019,Turkmenistan,,Female,73.0
2019,Turkmenistan,(0-4),Female,74.5
2019,Turkmenistan,(5-9),Female,70.9
2019,Turkmenistan,(10-14),Female,66.0
2019,Turkmenistan,(15-19),Female,61.1
2019,Turkmenistan,(20-24),Female,56.3
2019,Turkmenistan,(25-29),Female,51.6
2019,Turkmenistan,(30-34),Female,46.8
2019,Turkmenistan,(35-39),Female,42.0
2019,Turkey,(45-49),Male,33.5
2019,Turkey,(50-54),Male,29.0
2019,Turkey,(55-59),Male,24.7
2019,Turkey,(60-64),Male,20.6
2019,Turkmenistan,(40-44),Female,37.3
2019,Turkmenistan,(45-49),Female,32.7
2019,Turkmenistan,(50-54),Female,28.2
2019,Turkmenistan,(55-59),Female,23.9
2019,Turkmenistan,(60-64),Female,20.1
2019,Turkmenistan,(65-69),Female,16.3
2019,Turkmenistan,(70-74),Female,13.4
2019,Turkmenistan,(75-79),Female,11.2
2019,Turkey,,Male,76.4
2019,Turkey,(15-19),Female,66.6
2019,Turkey,(20-24),Female,61.6
2019,Turkey,(25-29),Female,56.7
2019,Turkey,(30-34),Female,51.8
2019,Turkey,(35-39),Female,46.9
2019,Turkey,(40-44),Female,42.0
2019,Turkey,(45-49),Female,37.2
2019,Turkey,(50-54),Female,32.4
2019,Turkey,(55-59),Female,27.8
2019,Turkey,(60-64),Female,23.2
2019,Turkey,(65-69),Female,18.9
2019,Turkey,(70-74),Female,14.9
2019,Turkey,(75-79),Female,11.4
2019,Turkey,(80-84),Female,8.4
2019,Turkey,(85-89),Female,5.9
2019,Turkey,(0-4),Male,76.2
2019,Turkmenistan,,Total,69.7
2019,Turkey,(5-9),Total,74.4
2019,Turkey,(10-14),Total,69.5
2019,Turkey,(15-19),Total,64.6
2019,Turkey,(20-24),Total,59.7
2019,Turkey,(25-29),Total,54.8
2019,Turkey,(30-34),Total,49.9
2019,Turkey,(35-39),Total,45.0
2019,Turkey,(40-44),Total,40.2
2019,Turkey,(45-49),Total,35.4
2019,Turkey,(50-54),Total,30.8
2019,Turkey,(55-59),Total,26.3
2019,Turkey,(60-64),Total,22.0
2019,Turkey,(65-69),Total,18.0
2019,Turkey,(70-74),Total,14.3
2019,Turkey,(75-79),Total,11.1
2019,Turkey,(80-84),Total,8.3
2019,Turkey,(85-89),Total,5.9
2019,Turkmenistan,(0-4),Total,71.6
2019,Turkey,(5-9),Male,72.3
2019,Turkey,(10-14),Male,67.3
2019,Turkey,(15-19),Male,62.4
2019,Turkey,(20-24),Male,57.5
2019,Turkey,(25-29),Male,52.7
2019,Turkey,(30-34),Male,47.8
2019,Turkey,(35-39),Male,43.0
2019,Turkmenistan,(5-9),Total,68.0
2019,Turkmenistan,(10-14),Total,63.1
2019,Turkmenistan,(15-19),Total,58.2
2019,Turkmenistan,(20-24),Total,53.5
2019,Turkey,(40-44),Male,38.2
2019,Turkey,,Total,78.6
2019,Turkey,(0-4),Total,78.3
2019,Turkey,(65-69),Male,16.9
2019,Turkey,(70-74),Male,13.6
2019,Turkey,(75-79),Male,10.7
2019,Turkey,(80-84),Male,8.2
2019,Turkey,(85-89),Male,5.8
2019,Turkey,,Female,80.7
2019,Turkey,(0-4),Female,80.3
