Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
Bulgaria,2019,Total,Both Sexes,Total,Estimate - de jure,"Final figure, complete",2019,7000039,
Bulgaria,2019,Total,Both Sexes,0,Estimate - de jure,"Final figure, complete",2019,62039,
Bulgaria,2019,Total,Both Sexes,0 - 4,Estimate - de jure,"Final figure, complete",2019,325725,
Bulgaria,2019,Total,Both Sexes,1,Estimate - de jure,"Final figure, complete",2019,64353,
Bulgaria,2019,Total,Both Sexes,4-Jan,Estimate - de jure,"Final figure, complete",2019,263686,
Bulgaria,2019,Total,Both Sexes,2,Estimate - de jure,"Final figure, complete",2019,65440,
Bulgaria,2019,Total,Both Sexes,3,Estimate - de jure,"Final figure, complete",2019,66156,
Bulgaria,2019,Total,Both Sexes,4,Estimate - de jure,"Final figure, complete",2019,67737,
Bulgaria,2019,Total,Both Sexes,5,Estimate - de jure,"Final figure, complete",2019,65399,
Bulgaria,2019,Total,Both Sexes,9-May,Estimate - de jure,"Final figure, complete",2019,344667,
Bulgaria,2019,Total,Both Sexes,6,Estimate - de jure,"Final figure, complete",2019,67759,
Bulgaria,2019,Total,Both Sexes,7,Estimate - de jure,"Final figure, complete",2019,69049,
Bulgaria,2019,Total,Both Sexes,8,Estimate - de jure,"Final figure, complete",2019,69503,
Bulgaria,2019,Total,Both Sexes,9,Estimate - de jure,"Final figure, complete",2019,72957,
Bulgaria,2019,Total,Both Sexes,10,Estimate - de jure,"Final figure, complete",2019,70184,
Bulgaria,2019,Total,Both Sexes,14-Oct,Estimate - de jure,"Final figure, complete",2019,334453,
Bulgaria,2019,Total,Both Sexes,11,Estimate - de jure,"Final figure, complete",2019,67774,
Bulgaria,2019,Total,Both Sexes,12,Estimate - de jure,"Final figure, complete",2019,66799,
Bulgaria,2019,Total,Both Sexes,13,Estimate - de jure,"Final figure, complete",2019,65132,
Bulgaria,2019,Total,Both Sexes,14,Estimate - de jure,"Final figure, complete",2019,64564,
Bulgaria,2019,Total,Both Sexes,15,Estimate - de jure,"Final figure, complete",2019,62267,
Bulgaria,2019,Total,Both Sexes,15 - 19,Estimate - de jure,"Final figure, complete",2019,315547,
Bulgaria,2019,Total,Both Sexes,16,Estimate - de jure,"Final figure, complete",2019,61447,
Bulgaria,2019,Total,Both Sexes,17,Estimate - de jure,"Final figure, complete",2019,61186,
Bulgaria,2019,Total,Both Sexes,18,Estimate - de jure,"Final figure, complete",2019,65118,
Bulgaria,2019,Total,Both Sexes,19,Estimate - de jure,"Final figure, complete",2019,65529,
Bulgaria,2019,Total,Both Sexes,20,Estimate - de jure,"Final figure, complete",2019,58376,
Bulgaria,2019,Total,Both Sexes,20 - 24,Estimate - de jure,"Final figure, complete",2019,307744,
Bulgaria,2019,Total,Both Sexes,21,Estimate - de jure,"Final figure, complete",2019,56078,
Bulgaria,2019,Total,Both Sexes,22,Estimate - de jure,"Final figure, complete",2019,62325,
