Age,Sex,Standard population of Europe 2013 Info
Under 1 year,Total,1000
Under 1 year,Male,1000
Under 1 year,Female,1000
1 year to under 5 years,Total,4000
1 year to under 5 years,Male,4000
1 year to under 5 years,Female,4000
5 to under 10 years,Total,5500
5 to under 10 years,Male,5500
5 to under 10 years,Female,5500
10 to under 15 years,Total,5500
10 to under 15 years,Male,5500
10 to under 15 years,Female,5500
15 to under 20 years,Total,5500
15 to under 20 years,Male,5500
15 to under 20 years,Female,5500
20 to under 25 years,Total,6000
20 to under 25 years,Male,6000
20 to under 25 years,Female,6000
25 to under 30 years,Total,6000
25 to under 30 years,Male,6000
25 to under 30 years,Female,6000
30 to under 35 years,Total,6500
30 to under 35 years,Male,6500
30 to under 35 years,Female,6500
35 to under 40 years,Total,7000
35 to under 40 years,Male,7000
35 to under 40 years,Female,7000
40 to under 45 years,Total,7000
40 to under 45 years,Male,7000
40 to under 45 years,Female,7000
45 to under 50 years,Total,7000
45 to under 50 years,Male,7000
45 to under 50 years,Female,7000
50 to under 55 years,Total,7000
50 to under 55 years,Male,7000
50 to under 55 years,Female,7000
55 to under 60 years,Total,6500
55 to under 60 years,Male,6500
55 to under 60 years,Female,6500
60 to under 65 years,Total,6000
60 to under 65 years,Male,6000
60 to under 65 years,Female,6000
65 to under 70 years,Total,5500
65 to under 70 years,Male,5500
65 to under 70 years,Female,5500
70 to under 75 years,Total,5000
70 to under 75 years,Male,5000
70 to under 75 years,Female,5000
75 to under 80 years,Total,4000
75 to under 80 years,Male,4000
75 to under 80 years,Female,4000
80 to under 85 years,Total,2500
80 to under 85 years,Male,2500
80 to under 85 years,Female,2500
85 years and older,Total,-
85 years and older,Male,-
85 years and older,Female,-
85 to under 90 years,Total,1500
85 to under 90 years,Male,1500
85 to under 90 years,Female,1500
90 years and older,Total,1000
90 years and older,Male,1000
90 years and older,Female,1000
90 to under 95 years,Total,800
90 to under 95 years,Male,800
90 to under 95 years,Female,800
95 years and older,Total,200
95 years and older,Male,200
95 years and older,Female,200
