Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
Åland Islands,2019,Total,Both Sexes,Total,Estimate - de jure,"Final figure, complete",2020.0,29836.5,1
Åland Islands,2019,Total,Both Sexes,0,Estimate - de jure,"Final figure, complete",2020.0,278.0,1
Åland Islands,2019,Total,Both Sexes,0 - 4,Estimate - de jure,"Final figure, complete",2020.0,1541.5,1
Åland Islands,2019,Total,Both Sexes,1,Estimate - de jure,"Final figure, complete",2020.0,292.0,1
Åland Islands,2019,Total,Both Sexes,1 - 4,Estimate - de jure,"Final figure, complete",2020.0,1263.5,1
Åland Islands,2019,Total,Both Sexes,2,Estimate - de jure,"Final figure, complete",2020.0,317.5,1
Åland Islands,2019,Total,Both Sexes,3,Estimate - de jure,"Final figure, complete",2020.0,322.5,1
Åland Islands,2019,Total,Both Sexes,4,Estimate - de jure,"Final figure, complete",2020.0,331.5,1
Åland Islands,2019,Total,Both Sexes,5,Estimate - de jure,"Final figure, complete",2020.0,342.0,1
Åland Islands,2019,Total,Both Sexes,5 - 9,Estimate - de jure,"Final figure, complete",2020.0,1703.5,1
Åland Islands,2019,Total,Both Sexes,6,Estimate - de jure,"Final figure, complete",2020.0,342.5,1
Åland Islands,2019,Total,Both Sexes,7,Estimate - de jure,"Final figure, complete",2020.0,341.0,1
Åland Islands,2019,Total,Both Sexes,8,Estimate - de jure,"Final figure, complete",2020.0,346.5,1
Åland Islands,2019,Total,Both Sexes,9,Estimate - de jure,"Final figure, complete",2020.0,331.5,1
Åland Islands,2019,Total,Both Sexes,10,Estimate - de jure,"Final figure, complete",2020.0,333.5,1
Åland Islands,2019,Total,Both Sexes,10 - 14,Estimate - de jure,"Final figure, complete",2020.0,1702.5,1
Åland Islands,2019,Total,Both Sexes,11,Estimate - de jure,"Final figure, complete",2020.0,346.0,1
Åland Islands,2019,Total,Both Sexes,12,Estimate - de jure,"Final figure, complete",2020.0,352.5,1
Åland Islands,2019,Total,Both Sexes,13,Estimate - de jure,"Final figure, complete",2020.0,339.5,1
Åland Islands,2019,Total,Both Sexes,14,Estimate - de jure,"Final figure, complete",2020.0,331.0,1
Åland Islands,2019,Total,Both Sexes,15,Estimate - de jure,"Final figure, complete",2020.0,334.5,1
Åland Islands,2019,Total,Both Sexes,15 - 19,Estimate - de jure,"Final figure, complete",2020.0,1557.0,1
Åland Islands,2019,Total,Both Sexes,16,Estimate - de jure,"Final figure, complete",2020.0,312.0,1
Åland Islands,2019,Total,Both Sexes,17,Estimate - de jure,"Final figure, complete",2020.0,312.0,1
Åland Islands,2019,Total,Both Sexes,18,Estimate - de jure,"Final figure, complete",2020.0,309.0,1
Åland Islands,2019,Total,Both Sexes,19,Estimate - de jure,"Final figure, complete",2020.0,289.5,1
Åland Islands,2019,Total,Both Sexes,20,Estimate - de jure,"Final figure, complete",2020.0,269.5,1
Åland Islands,2019,Total,Both Sexes,20 - 24,Estimate - de jure,"Final figure, complete",2020.0,1296.5,1
Åland Islands,2019,Total,Both Sexes,21,Estimate - de jure,"Final figure, complete",2020.0,245.0,1
Åland Islands,2019,Total,Both Sexes,22,Estimate - de jure,"Final figure, complete",2020.0,240.0,1
Åland Islands,2019,Total,Both Sexes,23,Estimate - de jure,"Final figure, complete",2020.0,272.5,1
Åland Islands,2019,Total,Both Sexes,24,Estimate - de jure,"Final figure, complete",2020.0,269.5,1
Åland Islands,2019,Total,Both Sexes,25,Estimate - de jure,"Final figure, complete",2020.0,294.0,1
Åland Islands,2019,Total,Both Sexes,25 - 29,Estimate - de jure,"Final figure, complete",2020.0,1729.5,1
Åland Islands,2019,Total,Both Sexes,26,Estimate - de jure,"Final figure, complete",2020.0,328.5,1
Åland Islands,2019,Total,Both Sexes,27,Estimate - de jure,"Final figure, complete",2020.0,345.0,1
Åland Islands,2019,Total,Both Sexes,28,Estimate - de jure,"Final figure, complete",2020.0,380.0,1
Åland Islands,2019,Total,Both Sexes,29,Estimate - de jure,"Final figure, complete",2020.0,382.0,1
Åland Islands,2019,Total,Both Sexes,30,Estimate - de jure,"Final figure, complete",2020.0,384.0,1
Åland Islands,2019,Total,Both Sexes,30 - 34,Estimate - de jure,"Final figure, complete",2020.0,1831.0,1
Åland Islands,2019,Total,Both Sexes,31,Estimate - de jure,"Final figure, complete",2020.0,372.0,1
Åland Islands,2019,Total,Both Sexes,32,Estimate - de jure,"Final figure, complete",2020.0,353.5,1
Åland Islands,2019,Total,Both Sexes,33,Estimate - de jure,"Final figure, complete",2020.0,354.5,1
Åland Islands,2019,Total,Both Sexes,34,Estimate - de jure,"Final figure, complete",2020.0,367.0,1
Åland Islands,2019,Total,Both Sexes,35,Estimate - de jure,"Final figure, complete",2020.0,355.5,1
Åland Islands,2019,Total,Both Sexes,35 - 39,Estimate - de jure,"Final figure, complete",2020.0,1896.0,1
Åland Islands,2019,Total,Both Sexes,36,Estimate - de jure,"Final figure, complete",2020.0,384.0,1
Åland Islands,2019,Total,Both Sexes,37,Estimate - de jure,"Final figure, complete",2020.0,390.0,1
Åland Islands,2019,Total,Both Sexes,38,Estimate - de jure,"Final figure, complete",2020.0,395.0,1
Åland Islands,2019,Total,Both Sexes,39,Estimate - de jure,"Final figure, complete",2020.0,371.5,1
Åland Islands,2019,Total,Both Sexes,40,Estimate - de jure,"Final figure, complete",2020.0,353.5,1
Åland Islands,2019,Total,Both Sexes,40 - 44,Estimate - de jure,"Final figure, complete",2020.0,1848.5,1
Åland Islands,2019,Total,Both Sexes,41,Estimate - de jure,"Final figure, complete",2020.0,349.5,1
Åland Islands,2019,Total,Both Sexes,42,Estimate - de jure,"Final figure, complete",2020.0,371.0,1
Åland Islands,2019,Total,Both Sexes,43,Estimate - de jure,"Final figure, complete",2020.0,394.5,1
Åland Islands,2019,Total,Both Sexes,44,Estimate - de jure,"Final figure, complete",2020.0,380.0,1
Åland Islands,2019,Total,Both Sexes,45,Estimate - de jure,"Final figure, complete",2020.0,383.0,1
Åland Islands,2019,Total,Both Sexes,45 - 49,Estimate - de jure,"Final figure, complete",2020.0,1952.5,1
Åland Islands,2019,Total,Both Sexes,46,Estimate - de jure,"Final figure, complete",2020.0,385.0,1
Åland Islands,2019,Total,Both Sexes,47,Estimate - de jure,"Final figure, complete",2020.0,398.5,1
Åland Islands,2019,Total,Both Sexes,48,Estimate - de jure,"Final figure, complete",2020.0,404.0,1
Åland Islands,2019,Total,Both Sexes,49,Estimate - de jure,"Final figure, complete",2020.0,382.0,1
Åland Islands,2019,Total,Both Sexes,50,Estimate - de jure,"Final figure, complete",2020.0,403.5,1
Åland Islands,2019,Total,Both Sexes,50 - 54,Estimate - de jure,"Final figure, complete",2020.0,2190.0,1
Åland Islands,2019,Total,Both Sexes,51,Estimate - de jure,"Final figure, complete",2020.0,454.0,1
Åland Islands,2019,Total,Both Sexes,52,Estimate - de jure,"Final figure, complete",2020.0,449.0,1
Åland Islands,2019,Total,Both Sexes,53,Estimate - de jure,"Final figure, complete",2020.0,445.0,1
Åland Islands,2019,Total,Both Sexes,54,Estimate - de jure,"Final figure, complete",2020.0,438.5,1
Åland Islands,2019,Total,Both Sexes,55,Estimate - de jure,"Final figure, complete",2020.0,402.5,1
Åland Islands,2019,Total,Both Sexes,55 - 59,Estimate - de jure,"Final figure, complete",2020.0,1980.0,1
Åland Islands,2019,Total,Both Sexes,56,Estimate - de jure,"Final figure, complete",2020.0,398.0,1
Åland Islands,2019,Total,Both Sexes,57,Estimate - de jure,"Final figure, complete",2020.0,388.5,1
Åland Islands,2019,Total,Both Sexes,58,Estimate - de jure,"Final figure, complete",2020.0,387.5,1
Åland Islands,2019,Total,Both Sexes,59,Estimate - de jure,"Final figure, complete",2020.0,403.5,1
Åland Islands,2019,Total,Both Sexes,60,Estimate - de jure,"Final figure, complete",2020.0,390.5,1
Åland Islands,2019,Total,Both Sexes,60 - 64,Estimate - de jure,"Final figure, complete",2020.0,1905.0,1
Åland Islands,2019,Total,Both Sexes,61,Estimate - de jure,"Final figure, complete",2020.0,378.5,1
Åland Islands,2019,Total,Both Sexes,62,Estimate - de jure,"Final figure, complete",2020.0,377.0,1
Åland Islands,2019,Total,Both Sexes,63,Estimate - de jure,"Final figure, complete",2020.0,372.0,1
Åland Islands,2019,Total,Both Sexes,64,Estimate - de jure,"Final figure, complete",2020.0,387.0,1
